id,Code_BuildingVariant,Remark_BuildingVariant_1,Remark_BuildingVariant_2,Date_Entry,Date_Change,Code_StatusDataset,Code_Country,Number_BuildingVariant,Code_TypeVariant,Code_Building,Description_BuildingVariant,Description_BuildingVariant_National,Code_BuildingType,Code_DataType_Building,Code_BuildingSizeClass,Code_ConstructionYearClass,Year1_Building,Year2_Building,Code_UtilisationType,V_C,A_C_National,A_C_ExtDim,A_C_IntDim,A_C_Use,A_C_Living,A_C_Ref_Input,n_Apartment,n_Storey,Code_RoofType_val_data,Code_RoofType,Code_AtticCond_val_data,Code_AtticCond,Code_CellarCond_val_data,Code_CellarCond,Code_AttachedNeighbours_val_data,Code_AttachedNeighbours,A_SolarPotential_1,Code_Orientation_SolarPotential_1,Inclination_SolarPotential_1,A_SolarPotential_2,Code_Orientation_SolarPotential_2,Inclination_SolarPotential_2,Code_ComplexFootprint_val_data,Code_ComplexFootprint,Code_ComplexRoof_val_data,Code_ComplexRoof,h_Ceiling,A_Roof_1,A_Roof_2,A_Wall_1,A_Wall_2,A_Wall_3,A_Floor_1,A_Floor_2,A_Window_1,A_Window_2,A_Door_1,A_Window_Horizontal,A_Window_East,A_Window_South,A_Window_West,A_Window_North,Code_TypeIntake_EnvelopeArea_val_data,Code_TypeIntake_EnvelopeArea,f_Corr_CeilingHeight,f_PlausiCrit_EnvSum_LowerLimit,f_PlausiCrit_EnvSum_UpperLimit,f_PlausiCrit_FloorArea_LowerLimit,f_PlausiCrit_FloorArea_UpperLimit,f_PlausiCrit_WindowArea_LowerLimit,f_PlausiCrit_WindowArea_UpperLimit,Code_ThermalBridging_Original,Code_ThermalBridging_Refurbished,Code_Infiltration_Actual,Code_Roof_1,Code_Roof_2,Code_Wall_1,Code_Wall_2,Code_Wall_3,Code_Floor_1,Code_Floor_2,Code_Window_1,Code_Window_2,Code_Door_1,Code_ConstructionBorder_Roof_1,Code_ConstructionBorder_Roof_2,Code_ConstructionBorder_Wall_1,Code_ConstructionBorder_Wall_2,Code_ConstructionBorder_Wall_3,Code_ConstructionBorder_Floor_1,Code_ConstructionBorder_Floor_2,delta_U_ThermalBridging_Original,delta_U_ThermalBridging_Refurbished,n_air_infiltration,U_Roof_1,U_Roof_2,U_Wall_1,U_Wall_2,U_Wall_3,U_Floor_1,U_Floor_2,U_Window_1,U_Window_2,U_Door_1,g_gl_n_Window_1,g_gl_n_Window_2,d_Insulation_Roof_1,d_Insulation_Roof_2,d_Insulation_Wall_1,d_Insulation_Wall_2,d_Insulation_Wall_3,d_Insulation_Floor_1,d_Insulation_Floor_2,R_Add_UnheatedSpace_Roof_1,R_Add_UnheatedSpace_Roof_2,R_Add_UnheatedSpace_Wall_1,R_Add_UnheatedSpace_Wall_2,R_Add_UnheatedSpace_Wall_3,R_Add_UnheatedSpace_Floor_1,R_Add_UnheatedSpace_Floor_2,b_Transmission_Roof_1,b_Transmission_Roof_2,b_Transmission_Wall_1,b_Transmission_Wall_2,b_Transmission_Wall_3,b_Transmission_Floor_1,b_Transmission_Floor_2,Code_Measure_Roof_1,Code_Measure_Roof_2,Code_Measure_Wall_1,Code_Measure_Wall_2,Code_Measure_Wall_3,Code_Measure_Floor_1,Code_Measure_Floor_2,Code_Measure_Window_1,Code_Measure_Window_2,Code_Measure_Door_1,R_PredefinedMeasure_Roof_1,R_PredefinedMeasure_Roof_2,R_PredefinedMeasure_Wall_1,R_PredefinedMeasure_Wall_2,R_PredefinedMeasure_Wall_3,R_PredefinedMeasure_Floor_1,R_PredefinedMeasure_Floor_2,R_PredefinedMeasure_Window_1,R_PredefinedMeasure_Window_2,R_PredefinedMeasure_Door_1,g_gl_n_PredefinedMeasure_Window_1,g_gl_n_PredefinedMeasure_Window_2,d_Insulation_PredefinedMeasure_Roof_1,d_Insulation_PredefinedMeasure_Roof_2,d_Insulation_PredefinedMeasure_Wall_1,d_Insulation_PredefinedMeasure_Wall_2,d_Insulation_PredefinedMeasure_Wall_3,d_Insulation_PredefinedMeasure_Floor_1,d_Insulation_PredefinedMeasure_Floor_2,d_Insulation_Input_Measure_Roof_1,d_Insulation_Input_Measure_Roof_2,d_Insulation_Input_Measure_Wall_1,d_Insulation_Input_Measure_Wall_2,d_Insulation_Input_Measure_Wall_3,d_Insulation_Input_Measure_Floor_1,d_Insulation_Input_Measure_Floor_2,Code_MeasureType_Roof_1_val_data,Code_MeasureType_Roof_1,Code_MeasureType_Roof_2_val_data,Code_MeasureType_Roof_2,Code_MeasureType_Wall_1_val_data,Code_MeasureType_Wall_1,Code_MeasureType_Wall_2_val_data,Code_MeasureType_Wall_2,Code_MeasureType_Wall_3_val_data,Code_MeasureType_Wall_3,Code_MeasureType_Floor_1_val_data,Code_MeasureType_Floor_1,Code_MeasureType_Floor_2_val_data,Code_MeasureType_Floor_2,Code_MeasureType_Window_1_val_data,Code_MeasureType_Window_1,Code_MeasureType_Window_2_val_data,Code_MeasureType_Window_2,Code_MeasureType_Door_1_val_data,Code_MeasureType_Door_1,f_Measure_Roof_1,f_Measure_Roof_2,f_Measure_Wall_1,f_Measure_Wall_2,f_Measure_Wall_3,f_Measure_Floor_1,f_Measure_Floor_2,f_Measure_Window_1,f_Measure_Window_2,f_Measure_Door_1,Code_ClimateRegion,Name_ClimateRegion,HeatingDays,Theta_e_Base,Theta_e,I_Sol_Hor,I_Sol_East,I_Sol_South,I_Sol_West,I_Sol_North,Code_BoundaryCond,theta_i,F_red_htr1,F_red_htr4,n_air_use,h_room,phi_int,q_w_nd,F_sh_hor,F_sh_vert,F_f,F_w,c_m
1,AT.N.AB.01.Gen.ReEx.001.001,0,0,2015-09-04,,Typology,AT,1,Refurbishment,AT.N.AB.01.Gen.ReEx.001,Existing condition,Zustand Bestand,AT.N.AB.01.Gen,ReEx,AB,AT.01,0,1918,Apartment,5230.6,1538.4,1538.4,1230.7,0,1230.7,0,12,4,,TR,,N,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,512.8,0,1130.38,0,0,512.8,0,182.75,0,4.84,0,81.6,0,101.15,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,0,Medium,AT.Ceiling.ReEx.01.01,AT.Ceiling.ReEx.01.02,AT.Wall.ReEx.01.02,0,0,AT.Floor.ReEx.01.01,0,AT.Window.ReEx.01.02,0,0,,,,,,,,0.1,0,0.2,1.05,1.95,1.1,0,0,0.9,0,2.2,0,0,0.65,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,AT.N,national / whole country,212,12,3.9,403,246,401,246,148,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
2,AT.N.AB.01.Gen.ReEx.001.002,0,0,2011-04-12,,Typology,AT,2,Refurbishment,AT.N.AB.01.Gen.ReEx.001,"Roof/wall insulation, double glazings and reduce infiltration","Dach/ Wand Dämmung, Isolierverglasung und Wärmebrückenminimierung",AT.N.AB.01.Gen,ReEx,AB,AT.01,0,1918,Apartment,5230.6,1538.4,1538.4,1230.7,0,1230.7,0,12,4,,TR,,N,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,512.8,0,1130.38,0,0,512.8,0,182.75,0,4.84,0,81.6,0,101.15,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Medium,Medium,AT.Ceiling.ReEx.01.01,AT.Ceiling.ReEx.01.02,AT.Wall.ReEx.01.02,0,0,AT.Floor.ReEx.01.01,0,AT.Window.ReEx.01.02,0,0,,,,,,,,0.1,0.1,0.2,1.05,1.95,1.1,0,0,0.9,0,2.2,0,0,0.65,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.3,0,1,0,1,0,0,1,0,AT.Ceiling.insulation14cm.01,0,AT.Wall.thermal insulation composit system 16cm.01,0,0,AT.Floor.thermal insulation on the ground/floor 10cm.01,0,AT.Window.2p-LowE-arg.01,0,AT.Door.exchange door by thermally improved door.01,3.5,0,4,0,0,2.5,0,0.71428573,0,0.5882353,0.6,0,0.14,0,0.16,0,0,0.1,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,AT.N,national / whole country,212,12,3.9,403,246,401,246,148,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
3,AT.N.AB.01.Gen.ReEx.001.003,0,0,2011-05-30,,Typology,AT,3,Refurbishment,AT.N.AB.01.Gen.ReEx.001,"Roof/wall insulation, double low-e glazings and reduce infiltration","Dach/ Wand Dämmung, und 2 fach Wärmeschutzglas/ Wärmebrückenminimierung",AT.N.AB.01.Gen,ReEx,AB,AT.01,0,1918,Apartment,5230.6,1538.4,1538.4,1230.7,0,1230.7,0,12,4,,TR,,N,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,512.8,0,1130.38,0,0,512.8,0,182.75,0,4.84,0,81.6,0,101.15,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Low,Medium,AT.Ceiling.ReEx.01.01,AT.Ceiling.ReEx.01.02,AT.Wall.ReEx.01.02,0,0,AT.Floor.ReEx.01.01,0,AT.Window.ReEx.01.02,0,0,,,,,,,,0.1,0.05,0.2,1.05,1.95,1.1,0,0,0.9,0,2.2,0,0,0.65,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.3,0,1,0,1,0,0,1,0,AT.Ceiling.insulation30cm.01,0,AT.Wall.thermal insulation composit system 24cm.01,0,0,AT.Floor.thermal insulation on the ground/floor 12cm.01,0,AT.Window.3p-LowE-arg.02,0,AT.Door.passive house standard door.01,7.5,0,6,0,0,3,0,0.7692308,0,1.25,0.5,0,0.3,0,0.24,0,0,0.12,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,AT.N,national / whole country,212,12,3.9,403,246,401,246,148,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
4,AT.N.AB.02.Gen.ReEx.001.001,0,0,2010-09-07,,Typology,AT,1,Refurbishment,AT.N.AB.02.Gen.ReEx.001,Existing condition,Zustand Bestand,AT.N.AB.02.Gen,ReEx,AB,AT.02,1919,1944,Apartment,4881.4,1479.15,1479.15,1183.32,0,1183.32,0,14,4,,TR,,N,,N,,B_N2,0,0,0,0,0,0,,0,,0,0,493,0,1128,0,0,493,0,158,0,4,0,85.2,1.13,70.54,1.13,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,0,Medium,AT.Ceiling.ReEx.02.01,AT.Roof.ReEx.02.02,AT.Wall.ReEx.02.01,0,0,AT.Floor.ReEx.02.01,0,AT.Window.ReEx.02.02,0,0,,,,,,,,0.1,0,0.2,1.05,0.8,1.9,0,0,0.9,0,2.2,0,0,0.65,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,AT.N,national / whole country,212,12,3.9,403,246,401,246,148,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
5,AT.N.AB.02.Gen.ReEx.001.002,0,0,2011-04-13,,Typology,AT,2,Refurbishment,AT.N.AB.02.Gen.ReEx.001,"Roof/wall insulation, double glazings and reduce infiltration","Dach/ Wand Dämmung, Isolierverglasung und Wärmebrückenminimierung",AT.N.AB.02.Gen,ReEx,AB,AT.02,1919,1944,Apartment,4881.4,1479.15,1479.15,1183.32,0,1183.32,0,14,4,,TR,,N,,N,,B_N2,0,0,0,0,0,0,,0,,0,0,493,0,1128,0,0,493,0,158,0,4,0,85.2,1.13,70.54,1.13,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Medium,Medium,AT.Ceiling.ReEx.02.01,AT.Roof.ReEx.02.02,AT.Wall.ReEx.02.01,0,0,AT.Floor.ReEx.02.01,0,AT.Window.ReEx.02.02,0,0,,,,,,,,0.1,0.1,0.2,1.05,0.8,1.9,0,0,0.9,0,2.2,0,0,0.65,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.3,0,1,0,1,0,0,1,0,AT.Ceiling.insulation14cm.01,AT.Roof.insulation24cm.01,AT.Wall.thermal insulation composit system 16cm.01,0,0,AT.Floor.thermal insulation on the ground/floor 10cm.01,0,AT.Window.2p-LowE-arg.01,0,AT.Door.exchange door by thermally improved door.01,3.5,6,4,0,0,2.5,0,0.71428573,0,0.5882353,0.6,0,0.14,0.24,0.16,0,0,0.1,0,0,0,0,0,0,0,0,,Add,,Add,,Add,,0,,0,,Add,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,AT.N,national / whole country,212,12,3.9,403,246,401,246,148,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
6,AT.N.AB.02.Gen.ReEx.001.003,0,0,2011-05-31,,Typology,AT,3,Refurbishment,AT.N.AB.02.Gen.ReEx.001,"Roof/wall insulation, double low-e glazings and reduce infiltration","Dach/ Wand Dämmung, und 2 fach Wärmeschutzglas/ Wärmebrückenminimierung",AT.N.AB.02.Gen,ReEx,AB,AT.02,1919,1944,Apartment,4881.4,1479.15,1479.15,1183.32,0,1183.32,0,14,4,,TR,,N,,N,,B_N2,0,0,0,0,0,0,,0,,0,0,493,0,1128,0,0,493,0,158,0,4,0,85.2,1.13,70.54,1.13,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Low,Medium,AT.Ceiling.ReEx.02.01,AT.Roof.ReEx.02.02,AT.Wall.ReEx.02.01,0,0,AT.Floor.ReEx.02.01,0,AT.Window.ReEx.02.02,0,0,,,,,,,,0.1,0.05,0.2,1.05,0.8,1.9,0,0,0.9,0,2.2,0,0,0.65,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.3,0,1,0,1,0,0,1,0,AT.Ceiling.insulation30cm.01,AT.Roof.insulation30cm.01,AT.Wall.thermal insulation composit system 24cm.01,0,0,AT.Floor.thermal insulation on the ground/floor 12cm.01,0,AT.Window.3p-LowE-arg.02,0,AT.Door.passive house standard door.01,7.5,7.5,6,0,0,3,0,0.7692308,0,1.25,0.5,0,0.3,0.3,0.24,0,0,0.12,0,0,0,0,0,0,0,0,,Add,,Add,,Add,,0,,0,,Add,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,AT.N,national / whole country,212,12,3.9,403,246,401,246,148,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
7,AT.N.AB.03.Gen.ReEx.001.001,0,0,2010-09-07,,Typology,AT,1,Refurbishment,AT.N.AB.03.Gen.ReEx.001,Existing condition,Zustand Bestand,AT.N.AB.03.Gen,ReEx,AB,AT.03,1945,1960,Apartment,2986.61,1013.09,1013.09,810.472,0,709.163,0,12,4,,TR,,N,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,337.7,0,588,0,0,220.9,116.8,115.86,0,4.2,0,1.68,53.76,5.88,64.22,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,0,Medium,AT.Ceiling.ReEx.03.02,0,AT.Wall.ReEx.03.02,0,0,AT.Floor.ReEx.03.01,AT.Floor.ReEx.03.01,AT.Window.ReEx.03.01,0,0,,,,,,,,0.1,0,0.2,1.7,0,1.4,0,0,1,1,2.3,0,0,0.65,0,0,0,0,0,0,0.02,0.02,0.3,0,0,0,0,0.3,0.3,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,AT.N,national / whole country,212,12,3.9,403,246,401,246,148,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
8,AT.N.AB.03.Gen.ReEx.001.002,0,0,2011-04-15,,Typology,AT,2,Refurbishment,AT.N.AB.03.Gen.ReEx.001,"Roof/wall insulation, double glazings and reduce infiltration","Dach/ Wand Dämmung, Isolierverglasung und Wärmebrückenminimierung",AT.N.AB.03.Gen,ReEx,AB,AT.03,1945,1960,Apartment,2986.61,1013.09,1013.09,810.472,0,709.163,0,12,4,,TR,,N,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,337.7,0,588,0,0,220.9,116.8,115.86,0,4.2,0,1.68,53.76,5.88,64.22,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Medium,Medium,AT.Ceiling.ReEx.03.02,0,AT.Wall.ReEx.03.02,0,0,AT.Floor.ReEx.03.01,AT.Floor.ReEx.03.01,AT.Window.ReEx.03.01,0,0,,,,,,,,0.1,0.1,0.2,1.7,0,1.4,0,0,1,1,2.3,0,0,0.65,0,0,0,0,0,0,0.02,0.02,0.3,0,0,0,0,0.3,0.3,1,0,1,0,0,1,1,AT.Ceiling.insulation14cm.01,0,AT.Wall.thermal insulation composit system 16cm.01,0,0,AT.Floor.thermal insulation cellar ceiling 16 cm.01,AT.Floor.thermal insulation cellar ceiling 16 cm.01,AT.Window.2p-LowE-arg.01,0,AT.Door.exchange door by thermally improved door.01,3.5,0,4,0,0,4.7619047,4.7619047,0.71428573,0,0.5882353,0.6,0,0.14,0,0.16,0,0,0.16,0.16,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,Add,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,AT.N,national / whole country,212,12,3.9,403,246,401,246,148,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
9,AT.N.AB.03.Gen.ReEx.001.003,0,0,2011-06-02,,Typology,AT,3,Refurbishment,AT.N.AB.03.Gen.ReEx.001,"Roof/wall insulation, double low-e glazings and reduce infiltration","Dach/ Wand Dämmung, und 2 fach Wärmeschutzglas/ Wärmebrückenminimierung",AT.N.AB.03.Gen,ReEx,AB,AT.03,1945,1960,Apartment,2986.61,1013.09,1013.09,810.472,0,709.163,0,12,4,,TR,,N,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,337.7,0,588,0,0,220.9,116.8,115.86,0,4.2,0,1.68,53.76,5.88,64.22,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Low,Medium,AT.Ceiling.ReEx.03.02,0,AT.Wall.ReEx.03.02,0,0,AT.Floor.ReEx.03.01,AT.Floor.ReEx.03.01,AT.Window.ReEx.03.01,0,0,,,,,,,,0.1,0.05,0.2,1.7,0,1.4,0,0,1,1,2.3,0,0,0.65,0,0,0,0,0,0,0.02,0.02,0.3,0,0,0,0,0.3,0.3,1,0,1,0,0,1,1,AT.Ceiling.insulation30cm.01,0,AT.Wall.thermal insulation composit system 24cm.01,0,0,AT.Floor.thermal insulation cellar ceiling 20 cm.01,AT.Floor.thermal insulation cellar ceiling 20 cm.01,AT.Window.3p-LowE-arg.02,0,AT.Door.passive house standard door.01,7.5,0,6,0,0,4.7619047,4.7619047,0.7692308,0,1.25,0.5,0,0.3,0,0.24,0,0,0.2,0.2,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,Add,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,AT.N,national / whole country,212,12,3.9,403,246,401,246,148,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
10,AT.N.AB.04.Gen.ReEx.001.001,0,0,2010-09-07,,Typology,AT,1,Refurbishment,AT.N.AB.04.Gen.ReEx.001,Existing condition,Zustand Bestand,AT.N.AB.04.Gen,ReEx,AB,AT.04,1961,1980,Apartment,3391.7,1169.5,1169.5,935.6,0,935.6,0,12,4,,TR,,N,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,389.9,0,958.74,0,0,389.9,0,186.49,0,9.43,0,4.39,119.01,4.39,58.7,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,0,Medium,AT.Ceiling.ReEx.04.01,0,AT.Wall.ReEx.04.01,AT.Wall.ReEx.04.04,0,AT.Floor.ReEx.04.01,0,AT.Window.ReEx.04.02,0,0,,,,,,,,0.1,0,0.2,0.9,0,1.1,0.5,0,0.8,0,2.6,0,0,0.65,0,0.04,0,0,0.05,0,0.04,0,0,0,0,0,0,0.3,0,1,0,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,AT.N,national / whole country,212,12,3.9,403,246,401,246,148,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
