id,Code_BuildingVariant,Remark_BuildingVariant_1,Remark_BuildingVariant_2,Date_Entry,Date_Change,Code_StatusDataset,Code_Country,Number_BuildingVariant,Code_TypeVariant,Code_Building,Description_BuildingVariant,Description_BuildingVariant_National,Code_BuildingType,Code_DataType_Building,Code_BuildingSizeClass,Code_ConstructionYearClass,Year1_Building,Year2_Building,Code_UtilisationType,V_C,A_C_National,A_C_ExtDim,A_C_IntDim,A_C_Use,A_C_Living,A_C_Ref_Input,n_Apartment,n_Storey,Code_RoofType_val_data,Code_RoofType,Code_AtticCond_val_data,Code_AtticCond,Code_CellarCond_val_data,Code_CellarCond,Code_AttachedNeighbours_val_data,Code_AttachedNeighbours,A_SolarPotential_1,Code_Orientation_SolarPotential_1,Inclination_SolarPotential_1,A_SolarPotential_2,Code_Orientation_SolarPotential_2,Inclination_SolarPotential_2,Code_ComplexFootprint_val_data,Code_ComplexFootprint,Code_ComplexRoof_val_data,Code_ComplexRoof,h_Ceiling,A_Roof_1,A_Roof_2,A_Wall_1,A_Wall_2,A_Wall_3,A_Floor_1,A_Floor_2,A_Window_1,A_Window_2,A_Door_1,A_Window_Horizontal,A_Window_East,A_Window_South,A_Window_West,A_Window_North,Code_TypeIntake_EnvelopeArea_val_data,Code_TypeIntake_EnvelopeArea,f_Corr_CeilingHeight,f_PlausiCrit_EnvSum_LowerLimit,f_PlausiCrit_EnvSum_UpperLimit,f_PlausiCrit_FloorArea_LowerLimit,f_PlausiCrit_FloorArea_UpperLimit,f_PlausiCrit_WindowArea_LowerLimit,f_PlausiCrit_WindowArea_UpperLimit,Code_ThermalBridging_Original,Code_ThermalBridging_Refurbished,Code_Infiltration_Actual,Code_Roof_1,Code_Roof_2,Code_Wall_1,Code_Wall_2,Code_Wall_3,Code_Floor_1,Code_Floor_2,Code_Window_1,Code_Window_2,Code_Door_1,Code_ConstructionBorder_Roof_1,Code_ConstructionBorder_Roof_2,Code_ConstructionBorder_Wall_1,Code_ConstructionBorder_Wall_2,Code_ConstructionBorder_Wall_3,Code_ConstructionBorder_Floor_1,Code_ConstructionBorder_Floor_2,delta_U_ThermalBridging_Original,delta_U_ThermalBridging_Refurbished,n_air_infiltration,U_Roof_1,U_Roof_2,U_Wall_1,U_Wall_2,U_Wall_3,U_Floor_1,U_Floor_2,U_Window_1,U_Window_2,U_Door_1,g_gl_n_Window_1,g_gl_n_Window_2,d_Insulation_Roof_1,d_Insulation_Roof_2,d_Insulation_Wall_1,d_Insulation_Wall_2,d_Insulation_Wall_3,d_Insulation_Floor_1,d_Insulation_Floor_2,R_Add_UnheatedSpace_Roof_1,R_Add_UnheatedSpace_Roof_2,R_Add_UnheatedSpace_Wall_1,R_Add_UnheatedSpace_Wall_2,R_Add_UnheatedSpace_Wall_3,R_Add_UnheatedSpace_Floor_1,R_Add_UnheatedSpace_Floor_2,b_Transmission_Roof_1,b_Transmission_Roof_2,b_Transmission_Wall_1,b_Transmission_Wall_2,b_Transmission_Wall_3,b_Transmission_Floor_1,b_Transmission_Floor_2,Code_Measure_Roof_1,Code_Measure_Roof_2,Code_Measure_Wall_1,Code_Measure_Wall_2,Code_Measure_Wall_3,Code_Measure_Floor_1,Code_Measure_Floor_2,Code_Measure_Window_1,Code_Measure_Window_2,Code_Measure_Door_1,R_PredefinedMeasure_Roof_1,R_PredefinedMeasure_Roof_2,R_PredefinedMeasure_Wall_1,R_PredefinedMeasure_Wall_2,R_PredefinedMeasure_Wall_3,R_PredefinedMeasure_Floor_1,R_PredefinedMeasure_Floor_2,R_PredefinedMeasure_Window_1,R_PredefinedMeasure_Window_2,R_PredefinedMeasure_Door_1,g_gl_n_PredefinedMeasure_Window_1,g_gl_n_PredefinedMeasure_Window_2,d_Insulation_PredefinedMeasure_Roof_1,d_Insulation_PredefinedMeasure_Roof_2,d_Insulation_PredefinedMeasure_Wall_1,d_Insulation_PredefinedMeasure_Wall_2,d_Insulation_PredefinedMeasure_Wall_3,d_Insulation_PredefinedMeasure_Floor_1,d_Insulation_PredefinedMeasure_Floor_2,d_Insulation_Input_Measure_Roof_1,d_Insulation_Input_Measure_Roof_2,d_Insulation_Input_Measure_Wall_1,d_Insulation_Input_Measure_Wall_2,d_Insulation_Input_Measure_Wall_3,d_Insulation_Input_Measure_Floor_1,d_Insulation_Input_Measure_Floor_2,Code_MeasureType_Roof_1_val_data,Code_MeasureType_Roof_1,Code_MeasureType_Roof_2_val_data,Code_MeasureType_Roof_2,Code_MeasureType_Wall_1_val_data,Code_MeasureType_Wall_1,Code_MeasureType_Wall_2_val_data,Code_MeasureType_Wall_2,Code_MeasureType_Wall_3_val_data,Code_MeasureType_Wall_3,Code_MeasureType_Floor_1_val_data,Code_MeasureType_Floor_1,Code_MeasureType_Floor_2_val_data,Code_MeasureType_Floor_2,Code_MeasureType_Window_1_val_data,Code_MeasureType_Window_1,Code_MeasureType_Window_2_val_data,Code_MeasureType_Window_2,Code_MeasureType_Door_1_val_data,Code_MeasureType_Door_1,f_Measure_Roof_1,f_Measure_Roof_2,f_Measure_Wall_1,f_Measure_Wall_2,f_Measure_Wall_3,f_Measure_Floor_1,f_Measure_Floor_2,f_Measure_Window_1,f_Measure_Window_2,f_Measure_Door_1,Code_ClimateRegion,Name_ClimateRegion,HeatingDays,Theta_e_Base,Theta_e,I_Sol_Hor,I_Sol_East,I_Sol_South,I_Sol_West,I_Sol_North,Code_BoundaryCond,theta_i,F_red_htr1,F_red_htr4,n_air_use,h_room,phi_int,q_w_nd,F_sh_hor,F_sh_vert,F_f,F_w,c_m
1,FR.N.AB.01.Gen.ReEx.001.001,0,0,2014-03-05,,Typology,FR,1,Refurbishment,FR.N.AB.01.Gen.ReEx.001,Existing state of the buidling,Etat initial,FR.N.AB.01.Gen,ReEx,AB,FR.01,0,1914,Apartment,7934.36,2383,0,0,0,1557,0,29,7,,FR,,C,,N,,B_N1,0,-,0,0,-,0,,0,,0,0,497.2,67.7,1348.987,104.339,70.219,503.6,66.4,365.017,0,16.8,0,92.861,75.556,102.958,93.642,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,0,High,FR.Roof.ReEx.01.02,FR.Roof.ReEx.01.03,FR.Wall.ReEx.01.05,FR.Wall.ReEx.01.06,FR.Wall.ReEx.01.07,FR.Floor.ReEx.01.04,FR.Floor.ReEx.01.05,FR.Window.ReEx.01.01,0,FR.Door.ReEx.01.02,,,,,,,,0.1,0,0.4,2.4,1.3,1.3,1.8,2.4,2.6,2.9,4.8,0,3.1,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,1,1,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,FR.N,National,208.66667,12,7.1,419,265,423,265,160,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
2,FR.N.AB.01.Gen.ReEx.001.002,0,0,2014-05-30,,Typology,FR,2,Refurbishment,FR.N.AB.01.Gen.ReEx.001,"Complead refurbishment, standard solutions","Rénovation compléte, niveau standard",FR.N.AB.01.Gen,ReEx,AB,FR.01,0,1914,Apartment,7934.36,2383,0,0,0,1557,0,29,7,,FR,,C,,N,,B_N1,0,-,0,0,-,0,,0,,0,0,497.2,67.7,1348.987,104.339,70.219,503.6,66.4,365.017,0,16.8,0,92.861,75.556,102.958,93.642,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Medium,Low,FR.Roof.ReEx.01.02,FR.Roof.ReEx.01.03,FR.Wall.ReEx.01.05,FR.Wall.ReEx.01.06,FR.Wall.ReEx.01.07,FR.Floor.ReEx.01.04,FR.Floor.ReEx.01.05,FR.Window.ReEx.01.01,0,FR.Door.ReEx.01.02,,,,,,,,0.1,0.1,0.1,2.4,1.3,1.3,1.8,2.4,2.6,2.9,4.8,0,3.1,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,1,1,1,1,0.5,0.5,FR.Roof.Isol12cm032+10cm038_typ.01,FR.Ceiling.Isol22cm032_typ.01,FR.Wall.ITI6cm024+3cm036_typ.01,FR.Wall.ITI6cm024+3cm036_typ.01,FR.Wall.ITI6cm024+3cm036_typ.01,FR.Floor.Isol7cm024_typ.01,FR.Floor.Isol7cm024_typ.01,FR.Window.Subst_Uw1.4_typ.02,0,FR.Door.Subst_Ud2.0-typ.01,5.4513097,6.875,1.6666666,1.6666666,1.6666666,2.9166667,2.9166667,0.71428573,0,0.5,0.63,0,0.1,0.22,0.06,0.06,0.06,0.07,0.07,0,0,0,0,0,0,0,,Add,,Add,,Add,,Add,,Add,,Add,,Add,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,0,1,FR.N,National,208.66667,12,7.1,419,265,423,265,160,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
3,FR.N.AB.01.Gen.ReEx.001.003,0,0,2014-05-30,,Typology,FR,3,Refurbishment,FR.N.AB.01.Gen.ReEx.001,"Complead refurbishment, advanced solutions","Rénovation compléte, niveau performant",FR.N.AB.01.Gen,ReEx,AB,FR.01,0,1914,Apartment,7934.36,2383,0,0,0,1557,0,29,7,,FR,,C,,N,,B_N1,0,-,0,0,-,0,,0,,0,0,497.2,67.7,1348.987,104.339,70.219,503.6,66.4,365.017,0,16.8,0,92.861,75.556,102.958,93.642,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Medium,Minimal,FR.Roof.ReEx.01.02,FR.Roof.ReEx.01.03,FR.Wall.ReEx.01.05,FR.Wall.ReEx.01.06,FR.Wall.ReEx.01.07,FR.Floor.ReEx.01.04,FR.Floor.ReEx.01.05,FR.Window.ReEx.01.01,0,FR.Door.ReEx.01.02,,,,,,,,0.1,0.1,0.05,2.4,1.3,1.3,1.8,2.4,2.6,2.9,4.8,0,3.1,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,1,1,1,1,0.5,0.5,FR.Roof.Isol12cm032+18cm038_adv.01,FR.Ceiling.Isol30cm032_adv.01,FR.Wall.ITI10cm024+3cm036_adv.01,FR.Wall.ITI10cm024+3cm036_adv.01,FR.Wall.ITI10cm024+3cm036_adv.01,FR.Floor.Isol10cm024_adv.01,FR.Floor.Isol10cm024_adv.01,FR.Window.Subst_Uw1.0_adv.01,0,"FR.Door.Subst_Ud1,5-adv.01",7.6008816,9.375,2.5,2.5,2.5,4.1666665,4.1666665,1,0,0.6666667,0.55,0,0.18,0.3,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,,Add,,Add,,Add,,Add,,Add,,Add,,Add,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,0,1,FR.N,National,208.66667,12,7.1,419,265,423,265,160,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
4,FR.N.AB.02.Gen.ReEx.001.001,0,0,2014-03-05,,Typology,FR,1,Refurbishment,FR.N.AB.02.Gen.ReEx.001,Existing state of the buidling,Etat initial,FR.N.AB.02.Gen,ReEx,AB,FR.02,1915,1948,Apartment,2857.7,891,0,0,0,685,0,15,7,,FR,,-,,N,,B_Alone,0,-,0,0,-,0,,0,,0,0,139.4,0,669.52,171.6,0,139.4,0,166.18,0,4.3,0,60.43,0,82.43,23.32,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Low,0,High,FR.Roof.ReEx.02.03,0,FR.Wall.ReEx.01.04,FR.Wall.ReEx.01.04,0,FR.Floor.ReEx.01.05,0,FR.Window.ReEx.05.01,0,FR.Door.ReEx.01.02,,,,,,,,0.05,0,0.4,3.2,0,2.5,2.5,0,2.9,0,2.8,0,3.1,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,FR.N,National,208.66667,12,7.1,419,265,423,265,160,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
5,FR.N.AB.02.Gen.ReEx.001.002,0,0,2014-05-30,,Typology,FR,2,Refurbishment,FR.N.AB.02.Gen.ReEx.001,"Complead refurbishment, standard solutions","Rénovation compléte, niveau standard",FR.N.AB.02.Gen,ReEx,AB,FR.02,1915,1948,Apartment,2857.7,891,0,0,0,685,0,15,7,,FR,,-,,N,,B_Alone,0,-,0,0,-,0,,0,,0,0,139.4,0,669.52,171.6,0,139.4,0,166.18,0,4.3,0,60.43,0,82.43,23.32,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Low,Medium,Low,FR.Roof.ReEx.02.03,0,FR.Wall.ReEx.01.04,FR.Wall.ReEx.01.04,0,FR.Floor.ReEx.01.05,0,FR.Window.ReEx.05.01,0,FR.Door.ReEx.01.02,,,,,,,,0.05,0.1,0.1,3.2,0,2.5,2.5,0,2.9,0,2.8,0,3.1,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,1,0,0.5,0,FR.Roof.Isol10cm024_typ.01,0,FR.Wall.ITI11cm030_typ.01,FR.Wall.ITE12cm032_typ.01,0,FR.Floor.Isol7cm024_typ.01,0,FR.Window.Subst_Uw1.4_typ.02,0,FR.Door.Subst_Ud2.0-typ.01,4.1666665,0,3.6666667,3.75,0,2.9166667,0,0.71428573,0,0.5,0.63,0,0.1,0,0.11,0.12,0,0.07,0,0,0,0,0,0,0,0,,Add,,0,,Add,,Add,,0,,Add,,0,,Replace,,0,,Replace,1,0,1,1,0,1,0,1,0,1,FR.N,National,208.66667,12,7.1,419,265,423,265,160,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
6,FR.N.AB.02.Gen.ReEx.001.003,0,0,2014-05-30,,Typology,FR,3,Refurbishment,FR.N.AB.02.Gen.ReEx.001,"Complead refurbishment, advanced solutions","Rénovation compléte, niveau performant",FR.N.AB.02.Gen,ReEx,AB,FR.02,1915,1948,Apartment,2857.7,891,0,0,0,685,0,15,7,,FR,,-,,N,,B_Alone,0,-,0,0,-,0,,0,,0,0,139.4,0,669.52,171.6,0,139.4,0,166.18,0,4.3,0,60.43,0,82.43,23.32,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Low,Medium,Minimal,FR.Roof.ReEx.02.03,0,FR.Wall.ReEx.01.04,FR.Wall.ReEx.01.04,0,FR.Floor.ReEx.01.05,0,FR.Window.ReEx.05.01,0,FR.Door.ReEx.01.02,,,,,,,,0.05,0.1,0.05,3.2,0,2.5,2.5,0,2.9,0,2.8,0,3.1,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,1,0,0.5,0,FR.Roof.Isol20cm024_adv.01,0,FR.Wall.ITI12cm030_adv.01,FR.Wall.ITE16cm032_adv.01,0,FR.Floor.Isol10cm024_adv.01,0,FR.Window.Subst_Uw1.0_adv.01,0,"FR.Door.Subst_Ud1,5-adv.01",4.1666665,0,4,5,0,4.1666665,0,1,0,0.6666667,0.55,0,0.1,0,0.12,0.16,0,0.1,0,0,0,0,0,0,0,0,,Add,,0,,Add,,Add,,0,,Add,,0,,Replace,,0,,Replace,1,0,1,1,0,1,0,1,0,1,FR.N,National,208.66667,12,7.1,419,265,423,265,160,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
7,FR.N.AB.03.Gen.ReEx.001.001,0,0,2014-03-05,,Typology,FR,1,Refurbishment,FR.N.AB.03.Gen.ReEx.001,Existing state of the buidling,Etat initial,FR.N.AB.03.Gen,ReEx,AB,FR.03,1949,1967,Apartment,6624,0,0,0,0,1801,0,30,10,,FR,,-,,N,,B_Alone,80,South,45,0,-,0,,0,,0,0,174.3,65.7,1298.88,0,0,240,0,408.36,0,3.96,0,177.8,58.8,91.36,80.4,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Low,0,Low,FR.Roof.ReEx.02.03,FR.Ceiling.ReEx.03.01,FR.Wall.ReEx.02.06,0,0,FR.Floor.ReEx.02.04,0,FR.Window.ReEx.06.01,0,FR.Door.ReEx.02.01,,,,,,,,0.05,0,0.1,3.2,2.5,3,0,0,2.5,0,2.6,0,5.6,0.76,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.3,0,1,1,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,FR.N,National,208.66667,12,7.1,419,265,423,265,160,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
8,FR.N.AB.03.Gen.ReEx.001.002,0,0,2014-05-30,,Typology,FR,2,Refurbishment,FR.N.AB.03.Gen.ReEx.001,"Complead refurbishment, standard solutions","Rénovation compléte, niveau standard",FR.N.AB.03.Gen,ReEx,AB,FR.03,1949,1967,Apartment,6624,0,0,0,0,1801,0,30,10,,FR,,-,,N,,B_Alone,80,South,45,0,-,0,,0,,0,0,174.3,65.7,1298.88,0,0,240,0,408.36,0,3.96,0,177.8,58.8,91.36,80.4,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Low,Low,Minimal,FR.Roof.ReEx.02.03,FR.Ceiling.ReEx.03.01,FR.Wall.ReEx.02.06,0,0,FR.Floor.ReEx.02.04,0,FR.Window.ReEx.06.01,0,FR.Door.ReEx.02.01,,,,,,,,0.05,0.05,0.05,3.2,2.5,3,0,0,2.5,0,2.6,0,5.6,0.76,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.3,0,1,1,1,0,0,0.5,0,FR.Roof.Isol10cm024_typ.01,0,FR.Wall.Insulation.09,0,0,FR.Floor.Isol7cm024_typ.01,0,FR.Window.Subst_Uw1.4_typ.02,0,FR.Door.Subst_Ud2.0-typ.01,4.1666665,0,3,0,0,2.9166667,0,0.71428573,0,0.5,0.63,0,0.1,0,0.12,0,0,0.07,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,0,,Replace,,0,,Replace,1,0,1,0,0,1,0,1,0,1,FR.N,National,208.66667,12,7.1,419,265,423,265,160,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
9,FR.N.AB.03.Gen.ReEx.001.003,0,0,2014-05-30,,Typology,FR,3,Refurbishment,FR.N.AB.03.Gen.ReEx.001,"Complead refurbishment, advanced solutions","Rénovation compléte, niveau performant",FR.N.AB.03.Gen,ReEx,AB,FR.03,1949,1967,Apartment,6624,0,0,0,0,1801,0,30,10,,FR,,-,,N,,B_Alone,80,South,45,0,-,0,,0,,0,0,174.3,65.7,1298.88,0,0,240,0,408.36,0,3.96,0,177.8,58.8,91.36,80.4,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Low,Low,Minimal,FR.Roof.ReEx.02.03,FR.Ceiling.ReEx.03.01,FR.Wall.ReEx.02.06,0,0,FR.Floor.ReEx.02.04,0,FR.Window.ReEx.06.01,0,FR.Door.ReEx.02.01,,,,,,,,0.05,0.05,0.05,3.2,2.5,3,0,0,2.5,0,2.6,0,5.6,0.76,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.3,0,1,1,1,0,0,0.5,0,FR.Roof.Isol20cm024_adv.01,0,FR.Wall.Insulation.02,0,0,FR.Floor.Isol10cm024_adv.01,0,FR.Window.Subst_Uw1.0_adv.01,0,"FR.Door.Subst_Ud1,5-adv.01",4.1666665,0,3.5,0,0,4.1666665,0,1,0,0.6666667,0.55,0,0.1,0,0.14,0,0,0.1,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,0,,Replace,,0,,Replace,1,0,1,0,0,1,0,1,0,1,FR.N,National,208.66667,12,7.1,419,265,423,265,160,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
10,FR.N.AB.04.Gen.ReEx.001.001,0,0,2014-03-05,,Typology,FR,1,Refurbishment,FR.N.AB.04.Gen.ReEx.001,Existing state of the buidling,Etat initial,FR.N.AB.04.Gen,ReEx,AB,FR.04,1968,1974,Apartment,15165,6000,0,0,0,0,0,48,6,,FR,,-,,N,,B_N1,221,South,30,0,-,0,,0,,0,0,1011,0,1548,0,0,662,348,1146,0,4,0,549,0,549,48,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Low,0,Medium,FR.Roof.ReEx.02.03,0,FR.Wall.ReEx.04.01,0,0,FR.Floor.ReEx.02.04,FR.Floor.ReEx.02.04,FR.Window.ReEx.06.01,0,FR.Door.ReEx.02.01,,,,,,,,0.05,0,0.2,3.2,0,0.78,0,0,2.5,2.5,2.6,0,5.6,0.76,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0.3,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,FR.N,National,208.66667,12,7.1,419,265,423,265,160,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
