id,Code_BuildingVariant,Remark_BuildingVariant_1,Remark_BuildingVariant_2,Date_Entry,Date_Change,Code_StatusDataset,Code_Country,Number_BuildingVariant,Code_TypeVariant,Code_Building,Description_BuildingVariant,Description_BuildingVariant_National,Code_BuildingType,Code_DataType_Building,Code_BuildingSizeClass,Code_ConstructionYearClass,Year1_Building,Year2_Building,Code_UtilisationType,V_C,A_C_National,A_C_ExtDim,A_C_IntDim,A_C_Use,A_C_Living,A_C_Ref_Input,n_Apartment,n_Storey,Code_RoofType_val_data,Code_RoofType,Code_AtticCond_val_data,Code_AtticCond,Code_CellarCond_val_data,Code_CellarCond,Code_AttachedNeighbours_val_data,Code_AttachedNeighbours,A_SolarPotential_1,Code_Orientation_SolarPotential_1,Inclination_SolarPotential_1,A_SolarPotential_2,Code_Orientation_SolarPotential_2,Inclination_SolarPotential_2,Code_ComplexFootprint_val_data,Code_ComplexFootprint,Code_ComplexRoof_val_data,Code_ComplexRoof,h_Ceiling,A_Roof_1,A_Roof_2,A_Wall_1,A_Wall_2,A_Wall_3,A_Floor_1,A_Floor_2,A_Window_1,A_Window_2,A_Door_1,A_Window_Horizontal,A_Window_East,A_Window_South,A_Window_West,A_Window_North,Code_TypeIntake_EnvelopeArea_val_data,Code_TypeIntake_EnvelopeArea,f_Corr_CeilingHeight,f_PlausiCrit_EnvSum_LowerLimit,f_PlausiCrit_EnvSum_UpperLimit,f_PlausiCrit_FloorArea_LowerLimit,f_PlausiCrit_FloorArea_UpperLimit,f_PlausiCrit_WindowArea_LowerLimit,f_PlausiCrit_WindowArea_UpperLimit,Code_ThermalBridging_Original,Code_ThermalBridging_Refurbished,Code_Infiltration_Actual,Code_Roof_1,Code_Roof_2,Code_Wall_1,Code_Wall_2,Code_Wall_3,Code_Floor_1,Code_Floor_2,Code_Window_1,Code_Window_2,Code_Door_1,Code_ConstructionBorder_Roof_1,Code_ConstructionBorder_Roof_2,Code_ConstructionBorder_Wall_1,Code_ConstructionBorder_Wall_2,Code_ConstructionBorder_Wall_3,Code_ConstructionBorder_Floor_1,Code_ConstructionBorder_Floor_2,delta_U_ThermalBridging_Original,delta_U_ThermalBridging_Refurbished,n_air_infiltration,U_Roof_1,U_Roof_2,U_Wall_1,U_Wall_2,U_Wall_3,U_Floor_1,U_Floor_2,U_Window_1,U_Window_2,U_Door_1,g_gl_n_Window_1,g_gl_n_Window_2,d_Insulation_Roof_1,d_Insulation_Roof_2,d_Insulation_Wall_1,d_Insulation_Wall_2,d_Insulation_Wall_3,d_Insulation_Floor_1,d_Insulation_Floor_2,R_Add_UnheatedSpace_Roof_1,R_Add_UnheatedSpace_Roof_2,R_Add_UnheatedSpace_Wall_1,R_Add_UnheatedSpace_Wall_2,R_Add_UnheatedSpace_Wall_3,R_Add_UnheatedSpace_Floor_1,R_Add_UnheatedSpace_Floor_2,b_Transmission_Roof_1,b_Transmission_Roof_2,b_Transmission_Wall_1,b_Transmission_Wall_2,b_Transmission_Wall_3,b_Transmission_Floor_1,b_Transmission_Floor_2,Code_Measure_Roof_1,Code_Measure_Roof_2,Code_Measure_Wall_1,Code_Measure_Wall_2,Code_Measure_Wall_3,Code_Measure_Floor_1,Code_Measure_Floor_2,Code_Measure_Window_1,Code_Measure_Window_2,Code_Measure_Door_1,R_PredefinedMeasure_Roof_1,R_PredefinedMeasure_Roof_2,R_PredefinedMeasure_Wall_1,R_PredefinedMeasure_Wall_2,R_PredefinedMeasure_Wall_3,R_PredefinedMeasure_Floor_1,R_PredefinedMeasure_Floor_2,R_PredefinedMeasure_Window_1,R_PredefinedMeasure_Window_2,R_PredefinedMeasure_Door_1,g_gl_n_PredefinedMeasure_Window_1,g_gl_n_PredefinedMeasure_Window_2,d_Insulation_PredefinedMeasure_Roof_1,d_Insulation_PredefinedMeasure_Roof_2,d_Insulation_PredefinedMeasure_Wall_1,d_Insulation_PredefinedMeasure_Wall_2,d_Insulation_PredefinedMeasure_Wall_3,d_Insulation_PredefinedMeasure_Floor_1,d_Insulation_PredefinedMeasure_Floor_2,d_Insulation_Input_Measure_Roof_1,d_Insulation_Input_Measure_Roof_2,d_Insulation_Input_Measure_Wall_1,d_Insulation_Input_Measure_Wall_2,d_Insulation_Input_Measure_Wall_3,d_Insulation_Input_Measure_Floor_1,d_Insulation_Input_Measure_Floor_2,Code_MeasureType_Roof_1_val_data,Code_MeasureType_Roof_1,Code_MeasureType_Roof_2_val_data,Code_MeasureType_Roof_2,Code_MeasureType_Wall_1_val_data,Code_MeasureType_Wall_1,Code_MeasureType_Wall_2_val_data,Code_MeasureType_Wall_2,Code_MeasureType_Wall_3_val_data,Code_MeasureType_Wall_3,Code_MeasureType_Floor_1_val_data,Code_MeasureType_Floor_1,Code_MeasureType_Floor_2_val_data,Code_MeasureType_Floor_2,Code_MeasureType_Window_1_val_data,Code_MeasureType_Window_1,Code_MeasureType_Window_2_val_data,Code_MeasureType_Window_2,Code_MeasureType_Door_1_val_data,Code_MeasureType_Door_1,f_Measure_Roof_1,f_Measure_Roof_2,f_Measure_Wall_1,f_Measure_Wall_2,f_Measure_Wall_3,f_Measure_Floor_1,f_Measure_Floor_2,f_Measure_Window_1,f_Measure_Window_2,f_Measure_Door_1,Code_ClimateRegion,Name_ClimateRegion,HeatingDays,Theta_e_Base,Theta_e,I_Sol_Hor,I_Sol_East,I_Sol_South,I_Sol_West,I_Sol_North,Code_BoundaryCond,theta_i,F_red_htr1,F_red_htr4,n_air_use,h_room,phi_int,q_w_nd,F_sh_hor,F_sh_vert,F_f,F_w,c_m
1,HU.N.AB.02.Ind.ReEx.001.011,0,0,2013-11-13,2015-09-29,Typology,HU,11,Refurbishment,HU.N.AB.02.Ind.ReEx.001,existing state,eredeti állapot,HU.N.AB.02.Ind,ReEx,AB,HU.02,1945,1979,Residential,6332.2,0,0,2389.5,0,0,0,28,6,,FR,,-,,N,,B_Alone,0,0,0,0,0,0,,Standard,,Simple,0,398.25,0,1483.47,0,0,398.25,0,280.9,0,0,0,0,140.46,0,140.43,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,High,High,HU.Roof.ReEx.02.01,0,HU.Wall.ReEx.02.03,0,0,HU.Floor.ReEx.02.02,0,HU.Window.ReEx.02.02,0,0,,,,,,,,0.15,0.15,0.4,0.913,0,0.8,0,0,0.559,0,2.5,0,0,0.75,0,0.1,0,0.08,0,0,0.05,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,HU.N,national / whole country,183,12,3.66,400,200,400,200,100,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
2,HU.N.AB.02.Ind.ReEx.001.012,0,0,2013-11-13,2015-09-29,Typology,HU,12,Refurbishment,HU.N.AB.02.Ind.ReEx.001,standard refurbishment,általános felújítás,HU.N.AB.02.Ind,ReEx,AB,HU.02,1945,1979,Residential,6332.2,0,0,2389.5,0,0,0,28,6,,FR,,-,,N,,B_Alone,0,0,0,0,0,0,,Standard,,Simple,0,398.25,0,1483.47,0,0,398.25,0,280.9,0,0,0,0,140.46,0,140.43,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,Medium,Low,HU.Roof.ReEx.02.01,0,HU.Wall.ReEx.02.03,0,0,HU.Floor.ReEx.02.02,0,HU.Window.ReEx.02.02,0,0,,,,,,,,0.15,0.1,0.1,0.913,0,0.8,0,0,0.559,0,2.5,0,0,0.75,0,0.1,0,0.08,0,0,0.05,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,HU.Roof.Ins_Roof_10.00,0,HU.Wall.Ins_Wall_5.00,0,0,HU.Floor.Ins_cellar ceiling_10.00,0,HU.Window.new_2p_Window_U1.6.00,0,0,2.3809524,0,1.25,0,0,2,0,0.625,0,0,0.6,0,0.1,0,0.05,0,0,0.1,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,0,,Replace,,0,,0,1,1,1,1,1,1,1,1,1,1,HU.N,national / whole country,183,12,3.66,400,200,400,200,100,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
3,HU.N.AB.02.Ind.ReEx.001.013,0,0,2013-11-13,2015-09-29,Typology,HU,13,Refurbishment,HU.N.AB.02.Ind.ReEx.001,ambitious refurbishment,mélyfelújítás,HU.N.AB.02.Ind,ReEx,AB,HU.02,1945,1979,Residential,6332.2,0,0,2389.5,0,0,0,28,6,,FR,,-,,N,,B_Alone,0,0,0,0,0,0,,Standard,,Simple,0,398.25,0,1483.47,0,0,398.25,0,280.9,0,0,0,0,140.46,0,140.43,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,Low,Low,HU.Roof.ReEx.02.01,0,HU.Wall.ReEx.02.03,0,0,HU.Floor.ReEx.02.02,0,HU.Window.ReEx.02.02,0,0,,,,,,,,0.15,0.05,0.1,0.913,0,0.8,0,0,0.559,0,2.5,0,0,0.75,0,0.1,0,0.08,0,0,0.05,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,HU.Roof.Ins_Roof_24.00,0,HU.Wall.Ins_Wall_16.00,0,0,HU.Floor.Ins_cellar ceiling_20.00,0,HU.Window.new_3p_Window_U1.0.00,0,0,5.714286,0,4,0,0,4,0,1,0,0,0.6,0,0.24,0,0.16,0,0,0.2,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,0,,Replace,,0,,0,1,1,1,1,1,1,1,1,1,1,HU.N,national / whole country,183,12,3.66,400,200,400,200,100,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
4,HU.N.AB.03.Ind.ReEx.001.011,0,0,2013-11-15,2015-09-29,Typology,HU,11,Refurbishment,HU.N.AB.03.Ind.ReEx.001,existing state,eredeti állapot,HU.N.AB.03.Ind,ReEx,AB,HU.03,1980,1989,Residential,4971,0,0,1876,0,0,0,30,5,,FR,,-,,N,,B_Alone,0,0,0,0,0,0,,Standard,,Simple,0,375.18,0,1181,0,0,375.18,0,292.6,0,0,0,0,146.3,0,146.3,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,High,Medium,HU.Roof.ReEx.03.02,0,HU.Wall.ReEx.02.04,0,0,HU.Floor.ReEx.02.02,0,HU.Window.ReEx.02.02,0,0,,,,,,,,0.15,0.15,0.2,0.436,0,0.7,0,0,0.559,0,2.5,0,0,0.75,0,0.08,0,0.08,0,0,0.05,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,HU.N,national / whole country,183,12,3.66,400,200,400,200,100,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
5,HU.N.AB.03.Ind.ReEx.001.012,0,0,2013-11-15,2015-09-29,Typology,HU,12,Refurbishment,HU.N.AB.03.Ind.ReEx.001,standard refurbishment,általános felújítás,HU.N.AB.03.Ind,ReEx,AB,HU.03,1980,1989,Residential,4971,0,0,1876,0,0,0,30,5,,FR,,-,,N,,B_Alone,0,0,0,0,0,0,,Standard,,Simple,0,375.18,0,1181,0,0,375.18,0,292.6,0,0,0,0,146.3,0,146.3,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,Medium,Low,HU.Roof.ReEx.03.02,0,HU.Wall.ReEx.02.04,0,0,HU.Floor.ReEx.02.02,0,HU.Window.ReEx.02.02,0,0,,,,,,,,0.15,0.1,0.1,0.436,0,0.7,0,0,0.559,0,2.5,0,0,0.75,0,0.08,0,0.08,0,0,0.05,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,HU.Roof.Ins_Roof_10.00,0,HU.Wall.Ins_Wall_5.00,0,0,HU.Floor.Ins_cellar ceiling_10.00,0,HU.Window.new_2p_Window_U1.6.00,0,0,2.3809524,0,1.25,0,0,2,0,0.625,0,0,0.6,0,0.1,0,0.05,0,0,0.1,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,0,,Replace,,0,,0,1,1,1,1,1,1,1,1,1,1,HU.N,national / whole country,183,12,3.66,400,200,400,200,100,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
6,HU.N.AB.03.Ind.ReEx.001.013,0,0,2013-11-15,2015-09-29,Typology,HU,13,Refurbishment,HU.N.AB.03.Ind.ReEx.001,ambitious refurbishment,mélyfelújítás,HU.N.AB.03.Ind,ReEx,AB,HU.03,1980,1989,Residential,4971,0,0,1876,0,0,0,30,5,,FR,,-,,N,,B_Alone,0,0,0,0,0,0,,Standard,,Simple,0,375.18,0,1181,0,0,375.18,0,292.6,0,0,0,0,146.3,0,146.3,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,Low,Low,HU.Roof.ReEx.03.02,0,HU.Wall.ReEx.02.04,0,0,HU.Floor.ReEx.02.02,0,HU.Window.ReEx.02.02,0,0,,,,,,,,0.15,0.05,0.1,0.436,0,0.7,0,0,0.559,0,2.5,0,0,0.75,0,0.08,0,0.08,0,0,0.05,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,HU.Roof.Ins_Roof_24.00,0,HU.Wall.Ins_Wall_16.00,0,0,HU.Floor.Ins_cellar ceiling_20.00,0,HU.Window.new_3p_Window_U1.0.00,0,0,5.714286,0,4,0,0,4,0,1,0,0,0.6,0,0.24,0,0.16,0,0,0.2,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,0,,Replace,,0,,0,1,1,1,1,1,1,1,1,1,1,HU.N,national / whole country,183,12,3.66,400,200,400,200,100,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
7,HU.N.AB.05.Gen.ReEx.001.001,OK,0,2014-02-08,2014-07-01,Typology,HU,1,Variation,HU.N.AB.05.Gen.ReEx.001,current requirement,jelenlegi követelmények,HU.N.AB.05.Gen,ReEx,AB,HU.05,2006,9999,Residential,4594.9,0,0,1702,0,0,0,30,5,,FR,,-,,N,,B_Alone,0,0,0,0,0,0,,Standard,,Simple,0,340.3,0,1196.7,0,0,340.3,0,359.3,0,3,0,180,0,179.3,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Low,Low,Low,HU.Roof.ReEx.04.01,0,HU.Wall.ReEx.05.02,0,0,HU.Floor.ReEx.05.02,0,HU.Window.ReEx.05.01,0,HU.Door.ReEx.05.01,,,,,,,,0.05,0.05,0.1,0.25,0,0.221,0,0,0.241,0,1.5,0,2,0.65,0,0.15,0,0.1,0,0,0.1,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,HU.N,national / whole country,183,12,3.66,400,200,400,200,100,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
8,HU.N.AB.05.Gen.ReEx.001.002,OK,0,2014-02-08,2014-07-01,Typology,HU,2,Variation,HU.N.AB.05.Gen.ReEx.001,advanced standard,alacsonyabb energiafelhasználás,HU.N.AB.05.Gen,ReEx,AB,HU.05,2006,9999,Residential,4594.9,0,0,1702,0,0,0,30,5,,FR,,-,,N,,B_Alone,0,0,0,0,0,0,,Standard,,Simple,0,340.3,0,1196.7,0,0,340.3,0,359.3,0,3,0,180,0,179.3,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Low,VeryLow,Minimal,HU.Roof.ReEx.04.01,0,HU.Wall.ReEx.05.02,0,0,HU.Floor.ReEx.05.02,0,HU.Window.ReEx.05.01,0,HU.Door.ReEx.05.01,,,,,,,,0.05,0.02,0.05,0.25,0,0.221,0,0,0.241,0,1.5,0,2,0.65,0,0.15,0,0.1,0,0,0.1,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,HU.Roof.Ins_Roof_10.00,0,HU.Wall.Ins_Wall_5.00,0,0,HU.Floor.Ins_cellar ceiling_5.00,0,HU.Window.new_2p_Window_U1.3.00,0,HU.Door.new_door_U1.3.00,2.3809524,0,1.25,0,0,0.8333333,0,0.7692308,0,0.7692308,0.6,0,0.1,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,HU.N,national / whole country,183,12,3.66,400,200,400,200,100,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
9,HU.N.AB.05.Gen.ReEx.001.003,OK,0,2014-02-08,2014-07-01,Typology,HU,3,Variation,HU.N.AB.05.Gen.ReEx.001,NZEB,közel nulla energiafelhasználás,HU.N.AB.05.Gen,ReEx,AB,HU.05,2006,9999,Residential,4594.9,0,0,1702,0,0,0,30,5,,FR,,-,,N,,B_Alone,0,0,0,0,0,0,,Standard,,Simple,0,340.3,0,1196.7,0,0,340.3,0,359.3,0,3,0,180,0,179.3,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Low,Minimal,Minimal,HU.Roof.ReEx.04.01,0,HU.Wall.ReEx.05.02,0,0,HU.Floor.ReEx.05.02,0,HU.Window.ReEx.05.01,0,HU.Door.ReEx.05.01,,,,,,,,0.05,0,0.05,0.25,0,0.221,0,0,0.241,0,1.5,0,2,0.65,0,0.15,0,0.1,0,0,0.1,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,HU.Roof.New_Ins_Roof_20.00,0,HU.Wall.Ins_Wall_10.00,0,0,HU.Floor.Ins_cellar ceiling_10.00,0,HU.Window.new_3p_Window_U1.0.00,0,HU.Door.new_door_U1.3.00,8,0,2.5,0,0,2,0,1,0,0.7692308,0.6,0,0.2,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,,ReplaceInsulation,,0,,Add,,0,,0,,Add,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,HU.N,national / whole country,183,12,3.66,400,200,400,200,100,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
10,HU.N.MFH.01.Gen.ReEx.001.001,0,0,2013-11-15,2014-07-01,Typology,HU,1,Refurbishment,HU.N.MFH.01.Gen.ReEx.001,existing state,eredeti állapot,HU.N.MFH.01.Gen,ReEx,MFH,HU.01,0,1944,Apartment,4524.7,0,0,1328,0,0,0,23,3,,UC,,N,,N,,B_N2,0,0,0,0,0,0,,Standard,,Simple,0,443.6,0,969,916.98,0,443.6,0,235.8,0,4,0,54,91.79,54,36,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,High,High,HU.Ceiling.ReEx.01.02,0,HU.Wall.ReEx.01.02,HU.Wall.ReEx.01.02,0,HU.Floor.ReEx.01.02,0,HU.Window.ReEx.01.01,0,HU.Door.ReEx.01.01,,,,,,,,0.15,0.15,0.4,0.642,0,1.1,1.1,0,0.975,0,3.5,0,3.5,0.75,0,0,0,0,0,0,0,0,0.3,0,0,0.3,0,0.3,0,1,0,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,HU.N,national / whole country,183,12,3.66,400,200,400,200,100,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
