id,Code_BuildingVariant,Remark_BuildingVariant_1,Remark_BuildingVariant_2,Date_Entry,Date_Change,Code_StatusDataset,Code_Country,Number_BuildingVariant,Code_TypeVariant,Code_Building,Description_BuildingVariant,Description_BuildingVariant_National,Code_BuildingType,Code_DataType_Building,Code_BuildingSizeClass,Code_ConstructionYearClass,Year1_Building,Year2_Building,Code_UtilisationType,V_C,A_C_National,A_C_ExtDim,A_C_IntDim,A_C_Use,A_C_Living,A_C_Ref_Input,n_Apartment,n_Storey,Code_RoofType_val_data,Code_RoofType,Code_AtticCond_val_data,Code_AtticCond,Code_CellarCond_val_data,Code_CellarCond,Code_AttachedNeighbours_val_data,Code_AttachedNeighbours,A_SolarPotential_1,Code_Orientation_SolarPotential_1,Inclination_SolarPotential_1,A_SolarPotential_2,Code_Orientation_SolarPotential_2,Inclination_SolarPotential_2,Code_ComplexFootprint_val_data,Code_ComplexFootprint,Code_ComplexRoof_val_data,Code_ComplexRoof,h_Ceiling,A_Roof_1,A_Roof_2,A_Wall_1,A_Wall_2,A_Wall_3,A_Floor_1,A_Floor_2,A_Window_1,A_Window_2,A_Door_1,A_Window_Horizontal,A_Window_East,A_Window_South,A_Window_West,A_Window_North,Code_TypeIntake_EnvelopeArea_val_data,Code_TypeIntake_EnvelopeArea,f_Corr_CeilingHeight,f_PlausiCrit_EnvSum_LowerLimit,f_PlausiCrit_EnvSum_UpperLimit,f_PlausiCrit_FloorArea_LowerLimit,f_PlausiCrit_FloorArea_UpperLimit,f_PlausiCrit_WindowArea_LowerLimit,f_PlausiCrit_WindowArea_UpperLimit,Code_ThermalBridging_Original,Code_ThermalBridging_Refurbished,Code_Infiltration_Actual,Code_Roof_1,Code_Roof_2,Code_Wall_1,Code_Wall_2,Code_Wall_3,Code_Floor_1,Code_Floor_2,Code_Window_1,Code_Window_2,Code_Door_1,Code_ConstructionBorder_Roof_1,Code_ConstructionBorder_Roof_2,Code_ConstructionBorder_Wall_1,Code_ConstructionBorder_Wall_2,Code_ConstructionBorder_Wall_3,Code_ConstructionBorder_Floor_1,Code_ConstructionBorder_Floor_2,delta_U_ThermalBridging_Original,delta_U_ThermalBridging_Refurbished,n_air_infiltration,U_Roof_1,U_Roof_2,U_Wall_1,U_Wall_2,U_Wall_3,U_Floor_1,U_Floor_2,U_Window_1,U_Window_2,U_Door_1,g_gl_n_Window_1,g_gl_n_Window_2,d_Insulation_Roof_1,d_Insulation_Roof_2,d_Insulation_Wall_1,d_Insulation_Wall_2,d_Insulation_Wall_3,d_Insulation_Floor_1,d_Insulation_Floor_2,R_Add_UnheatedSpace_Roof_1,R_Add_UnheatedSpace_Roof_2,R_Add_UnheatedSpace_Wall_1,R_Add_UnheatedSpace_Wall_2,R_Add_UnheatedSpace_Wall_3,R_Add_UnheatedSpace_Floor_1,R_Add_UnheatedSpace_Floor_2,b_Transmission_Roof_1,b_Transmission_Roof_2,b_Transmission_Wall_1,b_Transmission_Wall_2,b_Transmission_Wall_3,b_Transmission_Floor_1,b_Transmission_Floor_2,Code_Measure_Roof_1,Code_Measure_Roof_2,Code_Measure_Wall_1,Code_Measure_Wall_2,Code_Measure_Wall_3,Code_Measure_Floor_1,Code_Measure_Floor_2,Code_Measure_Window_1,Code_Measure_Window_2,Code_Measure_Door_1,R_PredefinedMeasure_Roof_1,R_PredefinedMeasure_Roof_2,R_PredefinedMeasure_Wall_1,R_PredefinedMeasure_Wall_2,R_PredefinedMeasure_Wall_3,R_PredefinedMeasure_Floor_1,R_PredefinedMeasure_Floor_2,R_PredefinedMeasure_Window_1,R_PredefinedMeasure_Window_2,R_PredefinedMeasure_Door_1,g_gl_n_PredefinedMeasure_Window_1,g_gl_n_PredefinedMeasure_Window_2,d_Insulation_PredefinedMeasure_Roof_1,d_Insulation_PredefinedMeasure_Roof_2,d_Insulation_PredefinedMeasure_Wall_1,d_Insulation_PredefinedMeasure_Wall_2,d_Insulation_PredefinedMeasure_Wall_3,d_Insulation_PredefinedMeasure_Floor_1,d_Insulation_PredefinedMeasure_Floor_2,d_Insulation_Input_Measure_Roof_1,d_Insulation_Input_Measure_Roof_2,d_Insulation_Input_Measure_Wall_1,d_Insulation_Input_Measure_Wall_2,d_Insulation_Input_Measure_Wall_3,d_Insulation_Input_Measure_Floor_1,d_Insulation_Input_Measure_Floor_2,Code_MeasureType_Roof_1_val_data,Code_MeasureType_Roof_1,Code_MeasureType_Roof_2_val_data,Code_MeasureType_Roof_2,Code_MeasureType_Wall_1_val_data,Code_MeasureType_Wall_1,Code_MeasureType_Wall_2_val_data,Code_MeasureType_Wall_2,Code_MeasureType_Wall_3_val_data,Code_MeasureType_Wall_3,Code_MeasureType_Floor_1_val_data,Code_MeasureType_Floor_1,Code_MeasureType_Floor_2_val_data,Code_MeasureType_Floor_2,Code_MeasureType_Window_1_val_data,Code_MeasureType_Window_1,Code_MeasureType_Window_2_val_data,Code_MeasureType_Window_2,Code_MeasureType_Door_1_val_data,Code_MeasureType_Door_1,f_Measure_Roof_1,f_Measure_Roof_2,f_Measure_Wall_1,f_Measure_Wall_2,f_Measure_Wall_3,f_Measure_Floor_1,f_Measure_Floor_2,f_Measure_Window_1,f_Measure_Window_2,f_Measure_Door_1,Code_ClimateRegion,Name_ClimateRegion,HeatingDays,Theta_e_Base,Theta_e,I_Sol_Hor,I_Sol_East,I_Sol_South,I_Sol_West,I_Sol_North,Code_BoundaryCond,theta_i,F_red_htr1,F_red_htr4,n_air_use,h_room,phi_int,q_w_nd,F_sh_hor,F_sh_vert,F_f,F_w,c_m
1,IT.MidClim.AB.01.Gen.ReEx.001.001,0,0,2011-01-18,2011-09-19,Typology,IT,1,Refurbishment,IT.MidClim.AB.01.Gen.ReEx.001,0,0,IT.MidClim.AB.01.Gen,ReEx,AB,IT.01,0,1900,Apartment,3745.3,0,1058,0,0,0,0,16,5,,UC,,N,,N,,B_N2,0,0,0,0,0,0,,0,,0,0,0,211.6,521.75,154,102.66,211.6,0,108.37,0,0,0,0,57.5,0,50.87,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Low,0,High,IT.Roof.ReEx.01.01,IT.Ceiling.ReEx.01.02,IT.Wall.ReEx.01.04,IT.Wall.ReEx.01.07,IT.Wall.ReEx.01.08,IT.Floor.ReEx.01.01,0,IT.Window.ReEx.01.01,0,0,,,,,,,,0.05,0,0.4,1.8,2.86,1.19,1.14,1.02,1.58,0,4.9,0,0,0.85,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0.3,0.3,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,IT.MidClim,Climatic Middle Zone (Italian Climatic Zone E),174,12,5.2,378,290,496,290,122,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
2,IT.MidClim.AB.01.Gen.ReEx.001.002,0,0,2011-01-18,2011-09-19,Typology,IT,2,Refurbishment,IT.MidClim.AB.01.Gen.ReEx.001,0,0,IT.MidClim.AB.01.Gen,ReEx,AB,IT.01,0,1900,Apartment,3745.3,0,1058,0,0,0,0,16,5,,UC,,N,,N,,B_N2,0,0,0,0,0,0,,0,,0,0,0,211.6,521.75,154,102.66,211.6,0,108.37,0,0,0,0,57.5,0,50.87,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Low,Medium,Low,IT.Roof.ReEx.01.01,IT.Ceiling.ReEx.01.02,IT.Wall.ReEx.01.04,IT.Wall.ReEx.01.07,IT.Wall.ReEx.01.08,IT.Floor.ReEx.01.01,0,IT.Window.ReEx.01.01,0,0,,,,,,,,0.05,0.1,0.1,1.8,2.86,1.19,1.14,1.02,1.58,0,4.9,0,0,0.85,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0.3,0.3,0,1,1,1,1,1,0.5,0,IT.Roof.Insulation03cm.03,IT.Ceiling.Insulation12cm.04,IT.Wall.Insulation09cm.04,IT.Wall.Insulation09cm.04,IT.Wall.Insulation08cm.03,IT.Floor.Insulation11cm.04,0,IT.Window.2p-LowE-arg.01,0,0,0.75,3,2.25,2.25,2,2.75,0,0.5,0,0,0.67,0,0.03,0.12,0.09,0.09,0.08,0.11,0,0,0,0,0,0,0,0,,Add,,Add,,Add,,Add,,Add,,Add,,0,,Replace,,0,,0,1,1,1,1,1,1,1,1,1,1,IT.MidClim,Climatic Middle Zone (Italian Climatic Zone E),174,12,5.2,378,290,496,290,122,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
3,IT.MidClim.AB.01.Gen.ReEx.001.003,0,0,2011-01-18,2011-09-19,Typology,IT,3,Refurbishment,IT.MidClim.AB.01.Gen.ReEx.001,0,0,IT.MidClim.AB.01.Gen,ReEx,AB,IT.01,0,1900,Apartment,3745.3,0,1058,0,0,0,0,16,5,,UC,,N,,N,,B_N2,0,0,0,0,0,0,,0,,0,0,0,211.6,521.75,154,102.66,211.6,0,108.37,0,0,0,0,57.5,0,50.87,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Low,Low,Low,IT.Roof.ReEx.01.01,IT.Ceiling.ReEx.01.02,IT.Wall.ReEx.01.04,IT.Wall.ReEx.01.07,IT.Wall.ReEx.01.08,IT.Floor.ReEx.01.01,0,IT.Window.ReEx.01.01,0,0,,,,,,,,0.05,0.05,0.1,1.8,2.86,1.19,1.14,1.02,1.58,0,4.9,0,0,0.85,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0.3,0.3,0,1,1,1,1,1,0.5,0,IT.Roof.Insulation03cm.03,IT.Ceiling.Insulation16cm.07,IT.Wall.Insulation13cm.08,IT.Wall.Insulation13cm.08,IT.Wall.Insulation12cm.07,IT.Floor.Insulation15cm.08,0,IT.Window.3p-LowE-arg.01,0,0,0.75,4,3.25,3.25,3,3.75,0,0.5882353,0,0,0.5,0,0.03,0.16,0.13,0.13,0.12,0.15,0,0,0,0,0,0,0,0,,Add,,Add,,Add,,Add,,Add,,Add,,0,,Replace,,0,,0,1,1,1,1,1,1,1,1,1,1,IT.MidClim,Climatic Middle Zone (Italian Climatic Zone E),174,12,5.2,378,290,496,290,122,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
4,IT.MidClim.AB.02.Gen.ReEx.001.001,0,0,2011-01-18,2011-09-19,Typology,IT,1,Refurbishment,IT.MidClim.AB.02.Gen.ReEx.001,0,0,IT.MidClim.AB.02.Gen,ReEx,AB,IT.02,1901,1920,Apartment,11029,0,2880,0,0,0,0,40,4,,UC,,N,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,0,720.9,1024.13,1024.13,1208.7,720.9,0,536.72,0,0,0,254,27.36,228,27.36,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Low,0,High,IT.Roof.ReEx.01.01,IT.Ceiling.ReEx.01.04,IT.Wall.ReEx.01.06,IT.Wall.ReEx.01.07,IT.Wall.ReEx.01.06,IT.Floor.ReEx.01.03,0,IT.Window.ReEx.01.01,0,0,,,,,,,,0.05,0,0.4,1.8,2.6,1.48,1.14,1.48,1.87,0,4.9,0,0,0.85,0,0,0,0,0,0,0,0,0,0.3,0,0,0.3,0.3,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,IT.MidClim,Climatic Middle Zone (Italian Climatic Zone E),174,12,5.2,378,290,496,290,122,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
5,IT.MidClim.AB.02.Gen.ReEx.001.002,0,0,2011-01-18,2011-09-19,Typology,IT,2,Refurbishment,IT.MidClim.AB.02.Gen.ReEx.001,0,0,IT.MidClim.AB.02.Gen,ReEx,AB,IT.02,1901,1920,Apartment,11029,0,2880,0,0,0,0,40,4,,UC,,N,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,0,720.9,1024.13,1024.13,1208.7,720.9,0,536.72,0,0,0,254,27.36,228,27.36,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Low,Medium,Low,IT.Roof.ReEx.01.01,IT.Ceiling.ReEx.01.04,IT.Wall.ReEx.01.06,IT.Wall.ReEx.01.07,IT.Wall.ReEx.01.06,IT.Floor.ReEx.01.03,0,IT.Window.ReEx.01.01,0,0,,,,,,,,0.05,0.1,0.1,1.8,2.6,1.48,1.14,1.48,1.87,0,4.9,0,0,0.85,0,0,0,0,0,0,0,0,0,0.3,0,0,0.3,0.3,0,1,1,1,1,1,0.5,0,IT.Roof.Insulation03cm.03,IT.Ceiling.Insulation12cm.04,IT.Wall.Insulation10cm.05,IT.Wall.Insulation09cm.04,IT.Wall.Insulation10cm.05,IT.Floor.Insulation11cm.04,0,IT.Window.2p-LowE-arg.01,0,0,0.75,3,2.5,2.25,2.5,2.75,0,0.5,0,0,0.67,0,0.03,0.12,0.1,0.09,0.1,0.11,0,0,0,0,0,0,0,0,,Add,,Add,,Add,,Add,,Add,,Add,,0,,Replace,,0,,0,1,1,1,1,1,1,1,1,1,1,IT.MidClim,Climatic Middle Zone (Italian Climatic Zone E),174,12,5.2,378,290,496,290,122,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
6,IT.MidClim.AB.02.Gen.ReEx.001.003,0,0,2011-01-18,2011-09-19,Typology,IT,3,Refurbishment,IT.MidClim.AB.02.Gen.ReEx.001,0,0,IT.MidClim.AB.02.Gen,ReEx,AB,IT.02,1901,1920,Apartment,11029,0,2880,0,0,0,0,40,4,,UC,,N,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,0,720.9,1024.13,1024.13,1208.7,720.9,0,536.72,0,0,0,254,27.36,228,27.36,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Low,Low,Low,IT.Roof.ReEx.01.01,IT.Ceiling.ReEx.01.04,IT.Wall.ReEx.01.06,IT.Wall.ReEx.01.07,IT.Wall.ReEx.01.06,IT.Floor.ReEx.01.03,0,IT.Window.ReEx.01.01,0,0,,,,,,,,0.05,0.05,0.1,1.8,2.6,1.48,1.14,1.48,1.87,0,4.9,0,0,0.85,0,0,0,0,0,0,0,0,0,0.3,0,0,0.3,0.3,0,1,1,1,1,1,0.5,0,IT.Roof.Insulation03cm.03,IT.Ceiling.Insulation16cm.07,IT.Wall.Insulation13cm.08,IT.Wall.Insulation13cm.08,IT.Wall.Insulation13cm.08,IT.Floor.Insulation15cm.08,0,IT.Window.3p-LowE-arg.01,0,0,0.75,4,3.25,3.25,3.25,3.75,0,0.5882353,0,0,0.5,0,0.03,0.16,0.13,0.13,0.13,0.15,0,0,0,0,0,0,0,0,,Add,,Add,,Add,,Add,,Add,,Add,,0,,Replace,,0,,0,1,1,1,1,1,1,1,1,1,1,IT.MidClim,Climatic Middle Zone (Italian Climatic Zone E),174,12,5.2,378,290,496,290,122,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
7,IT.MidClim.AB.03.Gen.ReEx.001.001,0,0,2011-01-18,2011-09-19,Typology,IT,1,Refurbishment,IT.MidClim.AB.03.Gen.ReEx.001,0,0,IT.MidClim.AB.03.Gen,ReEx,AB,IT.03,1921,1945,Apartment,7197,0,2249,0,0,0,0,30,5,,UC,,N,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,0,450,926.16,617.44,576,450,0,299.1,0,0,0,135.3,0,163.8,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,0,High,IT.Roof.ReEx.03.01,IT.Ceiling.ReEx.02.02,IT.Wall.ReEx.01.07,IT.Wall.ReEx.01.08,IT.Wall.ReEx.01.05,IT.Floor.ReEx.02.02,0,IT.Window.ReEx.01.02,0,0,,,,,,,,0.1,0,0.4,2.2,2.48,1.14,1.02,2.01,1.81,0,5.7,0,0,0.85,0,0,0,0,0,0,0,0,0,0.3,0,0,0.3,0.3,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,IT.MidClim,Climatic Middle Zone (Italian Climatic Zone E),174,12,5.2,378,290,496,290,122,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
8,IT.MidClim.AB.03.Gen.ReEx.001.002,0,0,2011-01-18,2011-09-19,Typology,IT,2,Refurbishment,IT.MidClim.AB.03.Gen.ReEx.001,0,0,IT.MidClim.AB.03.Gen,ReEx,AB,IT.03,1921,1945,Apartment,7197,0,2249,0,0,0,0,30,5,,UC,,N,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,0,450,926.16,617.44,576,450,0,299.1,0,0,0,135.3,0,163.8,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Medium,Low,IT.Roof.ReEx.03.01,IT.Ceiling.ReEx.02.02,IT.Wall.ReEx.01.07,IT.Wall.ReEx.01.08,IT.Wall.ReEx.01.05,IT.Floor.ReEx.02.02,0,IT.Window.ReEx.01.02,0,0,,,,,,,,0.1,0.1,0.1,2.2,2.48,1.14,1.02,2.01,1.81,0,5.7,0,0,0.85,0,0,0,0,0,0,0,0,0,0.3,0,0,0.3,0.3,0,1,1,1,1,1,0.5,0,IT.Roof.Insulation03cm.03,IT.Ceiling.Insulation12cm.04,IT.Wall.Insulation09cm.04,IT.Wall.Insulation08cm.03,IT.Wall.Insulation10cm.05,IT.Floor.Insulation11cm.04,0,IT.Window.2p-LowE-arg.01,0,0,0.75,3,2.25,2,2.5,2.75,0,0.5,0,0,0.67,0,0.03,0.12,0.09,0.08,0.1,0.11,0,0,0,0,0,0,0,0,,Add,,Add,,Add,,Add,,Add,,Add,,0,,Replace,,0,,0,1,1,1,1,1,1,1,1,1,1,IT.MidClim,Climatic Middle Zone (Italian Climatic Zone E),174,12,5.2,378,290,496,290,122,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
9,IT.MidClim.AB.03.Gen.ReEx.001.003,0,0,2011-01-18,2011-09-19,Typology,IT,3,Refurbishment,IT.MidClim.AB.03.Gen.ReEx.001,0,0,IT.MidClim.AB.03.Gen,ReEx,AB,IT.03,1921,1945,Apartment,7197,0,2249,0,0,0,0,30,5,,UC,,N,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,0,450,926.16,617.44,576,450,0,299.1,0,0,0,135.3,0,163.8,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Low,Low,IT.Roof.ReEx.03.01,IT.Ceiling.ReEx.02.02,IT.Wall.ReEx.01.07,IT.Wall.ReEx.01.08,IT.Wall.ReEx.01.05,IT.Floor.ReEx.02.02,0,IT.Window.ReEx.01.02,0,0,,,,,,,,0.1,0.05,0.1,2.2,2.48,1.14,1.02,2.01,1.81,0,5.7,0,0,0.85,0,0,0,0,0,0,0,0,0,0.3,0,0,0.3,0.3,0,1,1,1,1,1,0.5,0,IT.Roof.Insulation03cm.03,IT.Ceiling.Insulation16cm.07,IT.Wall.Insulation13cm.08,IT.Wall.Insulation12cm.07,IT.Wall.Insulation14cm.09,IT.Floor.Insulation16cm.09,0,IT.Window.3p-LowE-arg.01,0,0,0.75,4,3.25,3,3.5,4,0,0.5882353,0,0,0.5,0,0.03,0.16,0.13,0.12,0.14,0.16,0,0,0,0,0,0,0,0,,Add,,Add,,Add,,Add,,Add,,Add,,0,,Replace,,0,,0,1,1,1,1,1,1,1,1,1,1,IT.MidClim,Climatic Middle Zone (Italian Climatic Zone E),174,12,5.2,378,290,496,290,122,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
10,IT.MidClim.AB.04.Gen.ReEx.001.001,0,0,2011-01-18,2011-09-19,Typology,IT,1,Refurbishment,IT.MidClim.AB.04.Gen.ReEx.001,0,0,IT.MidClim.AB.04.Gen,ReEx,AB,IT.04,1946,1960,Apartment,5949,0,1763,0,0,0,0,24,4,,UC,,N,,N,,B_Alone,0,0,0,0,0,0,,0,,0,0,0,440.7,1050.2,591.3,0,440.7,0,216.64,0,0,0,122.58,0,94.06,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,0,High,IT.Roof.ReEx.01.01,IT.Ceiling.ReEx.03.01,IT.Wall.ReEx.03.01,IT.Wall.ReEx.04.03,0,IT.Floor.ReEx.03.01,0,IT.Window.ReEx.01.01,0,0,,,,,,,,0.1,0,0.4,1.8,1.65,1.15,3.4,0,1.3,0,4.9,0,0,0.85,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0,0.3,0,1,1,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,IT.MidClim,Climatic Middle Zone (Italian Climatic Zone E),174,12,5.2,378,290,496,290,122,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
