id,Code_BuildingVariant,Remark_BuildingVariant_1,Remark_BuildingVariant_2,Date_Entry,Date_Change,Code_StatusDataset,Code_Country,Number_BuildingVariant,Code_TypeVariant,Code_Building,Description_BuildingVariant,Description_BuildingVariant_National,Code_BuildingType,Code_DataType_Building,Code_BuildingSizeClass,Code_ConstructionYearClass,Year1_Building,Year2_Building,Code_UtilisationType,V_C,A_C_National,A_C_ExtDim,A_C_IntDim,A_C_Use,A_C_Living,A_C_Ref_Input,n_Apartment,n_Storey,Code_RoofType_val_data,Code_RoofType,Code_AtticCond_val_data,Code_AtticCond,Code_CellarCond_val_data,Code_CellarCond,Code_AttachedNeighbours_val_data,Code_AttachedNeighbours,A_SolarPotential_1,Code_Orientation_SolarPotential_1,Inclination_SolarPotential_1,A_SolarPotential_2,Code_Orientation_SolarPotential_2,Inclination_SolarPotential_2,Code_ComplexFootprint_val_data,Code_ComplexFootprint,Code_ComplexRoof_val_data,Code_ComplexRoof,h_Ceiling,A_Roof_1,A_Roof_2,A_Wall_1,A_Wall_2,A_Wall_3,A_Floor_1,A_Floor_2,A_Window_1,A_Window_2,A_Door_1,A_Window_Horizontal,A_Window_East,A_Window_South,A_Window_West,A_Window_North,Code_TypeIntake_EnvelopeArea_val_data,Code_TypeIntake_EnvelopeArea,f_Corr_CeilingHeight,f_PlausiCrit_EnvSum_LowerLimit,f_PlausiCrit_EnvSum_UpperLimit,f_PlausiCrit_FloorArea_LowerLimit,f_PlausiCrit_FloorArea_UpperLimit,f_PlausiCrit_WindowArea_LowerLimit,f_PlausiCrit_WindowArea_UpperLimit,Code_ThermalBridging_Original,Code_ThermalBridging_Refurbished,Code_Infiltration_Actual,Code_Roof_1,Code_Roof_2,Code_Wall_1,Code_Wall_2,Code_Wall_3,Code_Floor_1,Code_Floor_2,Code_Window_1,Code_Window_2,Code_Door_1,Code_ConstructionBorder_Roof_1,Code_ConstructionBorder_Roof_2,Code_ConstructionBorder_Wall_1,Code_ConstructionBorder_Wall_2,Code_ConstructionBorder_Wall_3,Code_ConstructionBorder_Floor_1,Code_ConstructionBorder_Floor_2,delta_U_ThermalBridging_Original,delta_U_ThermalBridging_Refurbished,n_air_infiltration,U_Roof_1,U_Roof_2,U_Wall_1,U_Wall_2,U_Wall_3,U_Floor_1,U_Floor_2,U_Window_1,U_Window_2,U_Door_1,g_gl_n_Window_1,g_gl_n_Window_2,d_Insulation_Roof_1,d_Insulation_Roof_2,d_Insulation_Wall_1,d_Insulation_Wall_2,d_Insulation_Wall_3,d_Insulation_Floor_1,d_Insulation_Floor_2,R_Add_UnheatedSpace_Roof_1,R_Add_UnheatedSpace_Roof_2,R_Add_UnheatedSpace_Wall_1,R_Add_UnheatedSpace_Wall_2,R_Add_UnheatedSpace_Wall_3,R_Add_UnheatedSpace_Floor_1,R_Add_UnheatedSpace_Floor_2,b_Transmission_Roof_1,b_Transmission_Roof_2,b_Transmission_Wall_1,b_Transmission_Wall_2,b_Transmission_Wall_3,b_Transmission_Floor_1,b_Transmission_Floor_2,Code_Measure_Roof_1,Code_Measure_Roof_2,Code_Measure_Wall_1,Code_Measure_Wall_2,Code_Measure_Wall_3,Code_Measure_Floor_1,Code_Measure_Floor_2,Code_Measure_Window_1,Code_Measure_Window_2,Code_Measure_Door_1,R_PredefinedMeasure_Roof_1,R_PredefinedMeasure_Roof_2,R_PredefinedMeasure_Wall_1,R_PredefinedMeasure_Wall_2,R_PredefinedMeasure_Wall_3,R_PredefinedMeasure_Floor_1,R_PredefinedMeasure_Floor_2,R_PredefinedMeasure_Window_1,R_PredefinedMeasure_Window_2,R_PredefinedMeasure_Door_1,g_gl_n_PredefinedMeasure_Window_1,g_gl_n_PredefinedMeasure_Window_2,d_Insulation_PredefinedMeasure_Roof_1,d_Insulation_PredefinedMeasure_Roof_2,d_Insulation_PredefinedMeasure_Wall_1,d_Insulation_PredefinedMeasure_Wall_2,d_Insulation_PredefinedMeasure_Wall_3,d_Insulation_PredefinedMeasure_Floor_1,d_Insulation_PredefinedMeasure_Floor_2,d_Insulation_Input_Measure_Roof_1,d_Insulation_Input_Measure_Roof_2,d_Insulation_Input_Measure_Wall_1,d_Insulation_Input_Measure_Wall_2,d_Insulation_Input_Measure_Wall_3,d_Insulation_Input_Measure_Floor_1,d_Insulation_Input_Measure_Floor_2,Code_MeasureType_Roof_1_val_data,Code_MeasureType_Roof_1,Code_MeasureType_Roof_2_val_data,Code_MeasureType_Roof_2,Code_MeasureType_Wall_1_val_data,Code_MeasureType_Wall_1,Code_MeasureType_Wall_2_val_data,Code_MeasureType_Wall_2,Code_MeasureType_Wall_3_val_data,Code_MeasureType_Wall_3,Code_MeasureType_Floor_1_val_data,Code_MeasureType_Floor_1,Code_MeasureType_Floor_2_val_data,Code_MeasureType_Floor_2,Code_MeasureType_Window_1_val_data,Code_MeasureType_Window_1,Code_MeasureType_Window_2_val_data,Code_MeasureType_Window_2,Code_MeasureType_Door_1_val_data,Code_MeasureType_Door_1,f_Measure_Roof_1,f_Measure_Roof_2,f_Measure_Wall_1,f_Measure_Wall_2,f_Measure_Wall_3,f_Measure_Floor_1,f_Measure_Floor_2,f_Measure_Window_1,f_Measure_Window_2,f_Measure_Door_1,Code_ClimateRegion,Name_ClimateRegion,HeatingDays,Theta_e_Base,Theta_e,I_Sol_Hor,I_Sol_East,I_Sol_South,I_Sol_West,I_Sol_North,Code_BoundaryCond,theta_i,F_red_htr1,F_red_htr4,n_air_use,h_room,phi_int,q_w_nd,F_sh_hor,F_sh_vert,F_f,F_w,c_m
1,NO.N.AB.01.Gen.ReEx.001.001,0,0,2014-02-21,,Typology,NO,1,Refurbishment,NO.N.AB.01.Gen.ReEx.001,As built,0,NO.N.AB.01.Gen,ReEx,AB,NO.01,0,1955,Apartment,0,1201,0,1201,0,0,0,16,4,,TR,,NI,,N,,B_Alone,353,SouthWest,40,353,SouthWest,20,,0,,0,2.8,395,0,746,0,0,353,0,201,0,0,0,0,0,0,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Minimal,Medium,NO.Roof.ReEx.05.02,0,NO.Wall.ReEx.01.53,0,0,NO.Floor.ReEx.02.06,0,NO.Window.ReEx.04.03,0,0,,,,,,,,0.1,0,0.2,0.28,0,0.76,0,0,0.9,0,2.2,0,0,0.76,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,NO.N,National,249,12,1.8,374,294,541,294,119,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
2,NO.N.AB.01.Gen.ReEx.001.002,0,0,2014-02-21,,Typology,NO,2,Refurbishment,NO.N.AB.01.Gen.ReEx.001,Standard refurbishment,0,NO.N.AB.01.Gen,ReEx,AB,NO.01,0,1955,Apartment,0,1201,0,1201,0,0,0,16,4,,TR,,NI,,N,,B_Alone,353,SouthWest,40,353,SouthWest,20,,0,,0,2.8,395,0,746,0,0,353,0,201,0,0,0,0,0,0,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Low,Medium,NO.Roof.ReEx.05.02,0,NO.Wall.ReEx.01.53,0,0,NO.Floor.ReEx.02.06,0,NO.Window.ReEx.04.03,0,0,,,,,,,,0.1,0.05,0.2,0.28,0,0.76,0,0,0.9,0,2.2,0,0,0.76,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,NO.Roof.Add_Insulation-5cm-outside.02.301,0,NO.Wall.Add_Insulation-10cm-outside.02.301,0,0,NO.Floor.Add_Insulation-5cm-outside.02.301,0,NO.Window.New_2glass-LowE.01,0,0,1.1363636,0,2.3809524,0,0,1.0638298,0,0.5263158,0,0,0.63,0,0.05,0,0.1,0,0,0.05,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,0,,Replace,,0,,0,1,0,1,0,0,1,0,1,0,0,NO.N,National,249,12,1.8,374,294,541,294,119,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
3,NO.N.AB.01.Gen.ReEx.001.003,0,0,2014-02-21,,Typology,NO,3,Refurbishment,NO.N.AB.01.Gen.ReEx.001,Ambitious refurbishment - TEK10,0,NO.N.AB.01.Gen,ReEx,AB,NO.01,0,1955,Apartment,0,1201,0,1201,0,0,0,16,4,,TR,,NI,,N,,B_Alone,353,SouthWest,40,353,SouthWest,20,,0,,0,2.8,395,0,746,0,0,353,0,201,0,0,0,0,0,0,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,VeryLow,Low,NO.Roof.ReEx.05.02,0,NO.Wall.ReEx.01.53,0,0,NO.Floor.ReEx.02.06,0,NO.Window.ReEx.04.03,0,0,,,,,,,,0.1,0.02,0.1,0.28,0,0.76,0,0,0.9,0,2.2,0,0,0.76,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,NO.Roof.Add_Insulation-5cm-outside.02.301,0,NO.Wall.Add_Insulation-20cm-outside.02.302,0,0,NO.Floor.Add_Insulation-5cm-outside.02.301,0,NO.Window.New_TEK10.01,0,0,1.1363636,0,4.5454545,0,0,1.0638298,0,0.8333333,0,0,0.54,0,0.05,0,0.2,0,0,0.05,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,0,,Replace,,0,,0,1,0,1,0,0,1,0,1,0,0,NO.N,National,249,12,1.8,374,294,541,294,119,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
4,NO.N.AB.02.Gen.ReEx.001.001,0,0,2014-02-21,,Typology,NO,1,Refurbishment,NO.N.AB.02.Gen.ReEx.001,As built,0,NO.N.AB.02.Gen,ReEx,AB,NO.02,1956,1970,Apartment,0,1526,0,1526,0,0,0,24,3,,FR,,-,,N,,B_Alone,598,SouthWest,40,598,SouthWest,20,,0,,0,2.7,598,0,897,147,0,598,0,327,0,0,0,0,0,0,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,High,Medium,NO.Roof.ReAv.02.300,0,NO.Wall.ReAv.03.100,NO.Wall.ReEx.01.54,0,NO.Floor.ReEx.01.05,0,NO.Window.ReEx.02.01,0,0,,,,,,,,0.1,0.15,0.2,0.35,0,0.41,0.45,0,0.73,0,2.8,0,0,0.76,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,NO.N,National,249,12,1.8,374,294,541,294,119,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
5,NO.N.AB.02.Gen.ReEx.001.002,0,0,2014-02-21,,Typology,NO,2,Refurbishment,NO.N.AB.02.Gen.ReEx.001,Standard refurbishment,0,NO.N.AB.02.Gen,ReEx,AB,NO.02,1956,1970,Apartment,0,1526,0,1526,0,0,0,24,3,,FR,,-,,N,,B_Alone,598,SouthWest,40,598,SouthWest,20,,0,,0,2.7,598,0,897,147,0,598,0,327,0,0,0,0,0,0,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Low,Medium,NO.Roof.ReAv.02.300,0,NO.Wall.ReAv.03.100,NO.Wall.ReEx.01.54,0,NO.Floor.ReEx.01.05,0,NO.Window.ReEx.02.01,0,0,,,,,,,,0.1,0.05,0.2,0.35,0,0.41,0.45,0,0.73,0,2.8,0,0,0.76,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,1,0,0.5,0,NO.Roof.Add_Insulation-5cm-outside.02.301,0,NO.Wall.Add_Insulation-10cm-outside.02.301,0,0,NO.Floor.Add_Insulation-5cm-outside.02.301,0,NO.Window.New_2glass-LowE.01,0,0,1.1363636,0,2.3809524,0,0,1.0638298,0,0.5263158,0,0,0.63,0,0.05,0,0.1,0,0,0.05,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,0,,Replace,,0,,0,1,0,1,0,0,1,0,1,0,0,NO.N,National,249,12,1.8,374,294,541,294,119,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
6,NO.N.AB.02.Gen.ReEx.001.003,0,0,2014-02-21,,Typology,NO,3,Refurbishment,NO.N.AB.02.Gen.ReEx.001,Ambitious refurbishment - TEK10,0,NO.N.AB.02.Gen,ReEx,AB,NO.02,1956,1970,Apartment,0,1526,0,1526,0,0,0,24,3,,FR,,-,,N,,B_Alone,598,SouthWest,40,598,SouthWest,20,,0,,0,2.7,598,0,897,147,0,598,0,327,0,0,0,0,0,0,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,VeryLow,Low,NO.Roof.ReAv.02.300,0,NO.Wall.ReAv.03.100,NO.Wall.ReEx.01.54,0,NO.Floor.ReEx.01.05,0,NO.Window.ReEx.02.01,0,0,,,,,,,,0.1,0.02,0.1,0.35,0,0.41,0.45,0,0.73,0,2.8,0,0,0.76,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,1,0,0.5,0,NO.Roof.Add_Insulation-5cm-outside.02.301,0,NO.Wall.Add_Insulation-20cm-outside.02.302,0,0,NO.Floor.Add_Insulation-5cm-outside.02.301,0,NO.Window.New_TEK10.01,0,0,1.1363636,0,4.5454545,0,0,1.0638298,0,0.8333333,0,0,0.54,0,0.05,0,0.2,0,0,0.05,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,0,,Replace,,0,,0,1,0,1,0,0,1,0,1,0,0,NO.N,National,249,12,1.8,374,294,541,294,119,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
7,NO.N.AB.02.Gen.ReEx.002.001,0,0,2013-11-11,,Typology,NO,1,Refurbishment,NO.N.AB.02.Gen.ReEx.002,Present,0,NO.N.AB.02.Gen,ReEx,AB,NO.02,1956,1970,Apartment,4915.2,2048,2355.2,2048,2048,2048,0,32,4,,TR,,N,,N,,B_Alone,623.2,SouthWest,40,623.2,SouthWest,20,,0,,0,2.4,623.2,0,883.2,0,0,623.2,0,402.6,0,9.9,0,0,277.1,0,125.4,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Low,Medium,Medium,NO.Roof.ReEx.01.09,0,NO.Wall.ReEx.01.26,0,0,NO.Floor.ReEx.01.04,0,NO.Window.ReEx.01.03,0,NO.Door.ReEx.01.01,,,,,,,,0.05,0.1,0.2,0.31,0,1.11,0,0,2.38,0,2.5,0,3.5,0.76,0,0.1,0,0.05,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,NO.N,National,249,12,1.8,374,294,541,294,119,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
8,NO.N.AB.02.Gen.ReEx.002.002,0,0,2013-11-11,,Typology,NO,2,Refurbishment,NO.N.AB.02.Gen.ReEx.002,Standard refurbishment,0,NO.N.AB.02.Gen,ReEx,AB,NO.02,1956,1970,Apartment,4915.2,2048,2355.2,2048,2048,2048,0,32,4,,TR,,N,,N,,B_Alone,623.2,SouthWest,40,623.2,SouthWest,20,,0,,0,2.4,623.2,0,883.2,0,0,623.2,0,402.6,0,9.9,0,0,277.1,0,125.4,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Low,Medium,Medium,NO.Roof.ReEx.01.09,0,NO.Wall.ReEx.01.26,0,0,NO.Floor.ReEx.01.04,0,NO.Window.ReEx.01.03,0,NO.Door.ReEx.01.01,,,,,,,,0.05,0.1,0.2,0.31,0,1.11,0,0,2.38,0,2.5,0,3.5,0.76,0,0.1,0,0.05,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,NO.Window.New_3layer_low-energy_window.03,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,Replace,,0,,0,0,0,0,0,0,0,0,1,0,0,NO.N,National,249,12,1.8,374,294,541,294,119,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
9,NO.N.AB.02.Gen.ReEx.002.003,0,0,2013-11-11,,Typology,NO,3,Refurbishment,NO.N.AB.02.Gen.ReEx.002,Advanced refurbishment,0,NO.N.AB.02.Gen,ReEx,AB,NO.02,1956,1970,Apartment,4915.2,2048,2355.2,2048,2048,2048,0,32,4,,TR,,N,,N,,B_Alone,623.2,SouthWest,40,623.2,SouthWest,20,,0,,0,2.4,623.2,0,883.2,0,0,623.2,0,402.6,0,9.9,0,0,277.1,0,125.4,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Low,Medium,Medium,NO.Roof.ReEx.01.09,0,NO.Wall.ReEx.01.26,0,0,NO.Floor.ReEx.01.04,0,NO.Window.ReEx.01.03,0,NO.Door.ReEx.01.01,,,,,,,,0.05,0.1,0.2,0.31,0,1.11,0,0,2.38,0,2.5,0,3.5,0.76,0,0.1,0,0.05,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0,0,0,NO.Wall.Add_200mm.01,0,0,0,0,NO.Window.New_3layer_low-energy_window.03,0,0,0,0,5.4054055,0,0,0,0,1,0,0,0.5,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,Add,,0,,0,,0,,0,,Replace,,0,,0,0,0,1,0,0,0,0,1,0,0,NO.N,National,249,12,1.8,374,294,541,294,119,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
10,NO.N.AB.03.Gen.ReEx.001.001,0,0,2014-02-21,,Typology,NO,1,Refurbishment,NO.N.AB.03.Gen.ReEx.001,As built,0,NO.N.AB.03.Gen,ReEx,AB,NO.03,1971,1980,Apartment,0,3380,0,3380,0,0,0,36,4,,FR,,-,,N,,B_Alone,994,SouthWest,40,994,SouthWest,20,,0,,0,2.5,994,0,1700,0,0,994,0,543,0,0,0,0,0,0,0,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Medium,Medium,NO.Roof.ReAv.03.300,0,NO.Wall.ReAv.03.100,0,0,NO.Floor.ReAv.03.300,0,NO.Window.ReEx.02.01,0,0,,,,,,,,0.1,0.1,0.2,0.21,0,0.41,0,0,0.34,0,2.8,0,0,0.76,0,0.18,0,0.1,0,0,0.1,0,0,0,0,0,0,0.3,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,NO.N,National,249,12,1.8,374,294,541,294,119,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
