id,Code_BuildingVariant,Remark_BuildingVariant_1,Remark_BuildingVariant_2,Date_Entry,Date_Change,Code_StatusDataset,Code_Country,Number_BuildingVariant,Code_TypeVariant,Code_Building,Description_BuildingVariant,Description_BuildingVariant_National,Code_BuildingType,Code_DataType_Building,Code_BuildingSizeClass,Code_ConstructionYearClass,Year1_Building,Year2_Building,Code_UtilisationType,V_C,A_C_National,A_C_ExtDim,A_C_IntDim,A_C_Use,A_C_Living,A_C_Ref_Input,n_Apartment,n_Storey,Code_RoofType_val_data,Code_RoofType,Code_AtticCond_val_data,Code_AtticCond,Code_CellarCond_val_data,Code_CellarCond,Code_AttachedNeighbours_val_data,Code_AttachedNeighbours,A_SolarPotential_1,Code_Orientation_SolarPotential_1,Inclination_SolarPotential_1,A_SolarPotential_2,Code_Orientation_SolarPotential_2,Inclination_SolarPotential_2,Code_ComplexFootprint_val_data,Code_ComplexFootprint,Code_ComplexRoof_val_data,Code_ComplexRoof,h_Ceiling,A_Roof_1,A_Roof_2,A_Wall_1,A_Wall_2,A_Wall_3,A_Floor_1,A_Floor_2,A_Window_1,A_Window_2,A_Door_1,A_Window_Horizontal,A_Window_East,A_Window_South,A_Window_West,A_Window_North,Code_TypeIntake_EnvelopeArea_val_data,Code_TypeIntake_EnvelopeArea,f_Corr_CeilingHeight,f_PlausiCrit_EnvSum_LowerLimit,f_PlausiCrit_EnvSum_UpperLimit,f_PlausiCrit_FloorArea_LowerLimit,f_PlausiCrit_FloorArea_UpperLimit,f_PlausiCrit_WindowArea_LowerLimit,f_PlausiCrit_WindowArea_UpperLimit,Code_ThermalBridging_Original,Code_ThermalBridging_Refurbished,Code_Infiltration_Actual,Code_Roof_1,Code_Roof_2,Code_Wall_1,Code_Wall_2,Code_Wall_3,Code_Floor_1,Code_Floor_2,Code_Window_1,Code_Window_2,Code_Door_1,Code_ConstructionBorder_Roof_1,Code_ConstructionBorder_Roof_2,Code_ConstructionBorder_Wall_1,Code_ConstructionBorder_Wall_2,Code_ConstructionBorder_Wall_3,Code_ConstructionBorder_Floor_1,Code_ConstructionBorder_Floor_2,delta_U_ThermalBridging_Original,delta_U_ThermalBridging_Refurbished,n_air_infiltration,U_Roof_1,U_Roof_2,U_Wall_1,U_Wall_2,U_Wall_3,U_Floor_1,U_Floor_2,U_Window_1,U_Window_2,U_Door_1,g_gl_n_Window_1,g_gl_n_Window_2,d_Insulation_Roof_1,d_Insulation_Roof_2,d_Insulation_Wall_1,d_Insulation_Wall_2,d_Insulation_Wall_3,d_Insulation_Floor_1,d_Insulation_Floor_2,R_Add_UnheatedSpace_Roof_1,R_Add_UnheatedSpace_Roof_2,R_Add_UnheatedSpace_Wall_1,R_Add_UnheatedSpace_Wall_2,R_Add_UnheatedSpace_Wall_3,R_Add_UnheatedSpace_Floor_1,R_Add_UnheatedSpace_Floor_2,b_Transmission_Roof_1,b_Transmission_Roof_2,b_Transmission_Wall_1,b_Transmission_Wall_2,b_Transmission_Wall_3,b_Transmission_Floor_1,b_Transmission_Floor_2,Code_Measure_Roof_1,Code_Measure_Roof_2,Code_Measure_Wall_1,Code_Measure_Wall_2,Code_Measure_Wall_3,Code_Measure_Floor_1,Code_Measure_Floor_2,Code_Measure_Window_1,Code_Measure_Window_2,Code_Measure_Door_1,R_PredefinedMeasure_Roof_1,R_PredefinedMeasure_Roof_2,R_PredefinedMeasure_Wall_1,R_PredefinedMeasure_Wall_2,R_PredefinedMeasure_Wall_3,R_PredefinedMeasure_Floor_1,R_PredefinedMeasure_Floor_2,R_PredefinedMeasure_Window_1,R_PredefinedMeasure_Window_2,R_PredefinedMeasure_Door_1,g_gl_n_PredefinedMeasure_Window_1,g_gl_n_PredefinedMeasure_Window_2,d_Insulation_PredefinedMeasure_Roof_1,d_Insulation_PredefinedMeasure_Roof_2,d_Insulation_PredefinedMeasure_Wall_1,d_Insulation_PredefinedMeasure_Wall_2,d_Insulation_PredefinedMeasure_Wall_3,d_Insulation_PredefinedMeasure_Floor_1,d_Insulation_PredefinedMeasure_Floor_2,d_Insulation_Input_Measure_Roof_1,d_Insulation_Input_Measure_Roof_2,d_Insulation_Input_Measure_Wall_1,d_Insulation_Input_Measure_Wall_2,d_Insulation_Input_Measure_Wall_3,d_Insulation_Input_Measure_Floor_1,d_Insulation_Input_Measure_Floor_2,Code_MeasureType_Roof_1_val_data,Code_MeasureType_Roof_1,Code_MeasureType_Roof_2_val_data,Code_MeasureType_Roof_2,Code_MeasureType_Wall_1_val_data,Code_MeasureType_Wall_1,Code_MeasureType_Wall_2_val_data,Code_MeasureType_Wall_2,Code_MeasureType_Wall_3_val_data,Code_MeasureType_Wall_3,Code_MeasureType_Floor_1_val_data,Code_MeasureType_Floor_1,Code_MeasureType_Floor_2_val_data,Code_MeasureType_Floor_2,Code_MeasureType_Window_1_val_data,Code_MeasureType_Window_1,Code_MeasureType_Window_2_val_data,Code_MeasureType_Window_2,Code_MeasureType_Door_1_val_data,Code_MeasureType_Door_1,f_Measure_Roof_1,f_Measure_Roof_2,f_Measure_Wall_1,f_Measure_Wall_2,f_Measure_Wall_3,f_Measure_Floor_1,f_Measure_Floor_2,f_Measure_Window_1,f_Measure_Window_2,f_Measure_Door_1,Code_ClimateRegion,Name_ClimateRegion,HeatingDays,Theta_e_Base,Theta_e,I_Sol_Hor,I_Sol_East,I_Sol_South,I_Sol_West,I_Sol_North,Code_BoundaryCond,theta_i,F_red_htr1,F_red_htr4,n_air_use,h_room,phi_int,q_w_nd,F_sh_hor,F_sh_vert,F_f,F_w,c_m
1,RS.N.AB.01.Gen.ReEx.001.001,0,0,,,Typology,RS,1,Refurbishment,RS.N.AB.01.Gen.ReEx.001,existing,postojece stanje,RS.N.AB.01.Gen,ReEx,AB,RS.01,0,1918,Apartment,4557,1554,1884,1413,1413,1413,0,6,3,,TR,,C,,N,,B_N2,0,0,0,0,0,0,,0,,0,3.2,759,0,823.6,410.45,353.21,590.93,0,131.16,26,2,0,0,97.68,0,55.92,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Medium,High,RS.Roof.ReEx.01.01,0,RS.Wall.ReEx.01.02,RS.Wall.ReEx.01.03,RS.Wall.ReEx.01.02,RS.Floor.ReEx.01.04,0,RS.Window.ReEx.01.02,RS.Window.ReEx.01.03,RS.Door.ReEx.01.01,,,,,,,,0.1,0.1,0.4,0.43,0,1.1,1.33,1.1,1.03,0,3.5,3,3,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,1,0,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,RS.N,national / whole country,180,12,4.5,378,301,448,301,141,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
2,RS.N.AB.01.Gen.ReEx.001.002,0,0,,,Typology,RS,2,Refurbishment,RS.N.AB.01.Gen.ReEx.001,refurbishment 1,unapredjenje 1,RS.N.AB.01.Gen,ReEx,AB,RS.01,0,1918,Apartment,4557,1554,1884,1413,1413,1413,0,6,3,,TR,,C,,N,,B_N2,0,0,0,0,0,0,,0,,0,3.2,759,0,823.6,410.45,353.21,590.93,0,131.16,26,2,0,0,97.68,0,55.92,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Low,Medium,RS.Roof.ReEx.01.01,0,RS.Wall.ReEx.01.02,RS.Wall.ReEx.01.03,RS.Wall.ReEx.01.02,RS.Floor.ReEx.01.04,0,RS.Window.ReEx.01.02,RS.Window.ReEx.01.03,RS.Door.ReEx.01.01,,,,,,,,0.1,0.05,0.2,0.43,0,1.1,1.33,1.1,1.03,0,3.5,3,3,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,1,0,1,1,1,0.5,0,RS.Roof.Insulation10cm.01,0,RS.Wall.insulation10cm.02,RS.Wall.insulation5cm.01,RS.Wall.insulation5cm.01,RS.Floor.Insulation10cm.02,0,RS.Window.2p-LowE-arg.01,0,RS.Door.WoodHigh.01,2.857143,0,2.857143,1.4285715,1.4285715,2.857143,0,0.6666667,0,0.6666667,0.5,0,0.1,0,0.1,0.05,0.05,0.1,0,0,0,0,0,0,0,0,,Add,,0,,Add,,Add,,Add,,Add,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,RS.N,national / whole country,180,12,4.5,378,301,448,301,141,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
3,RS.N.AB.01.Gen.ReEx.001.003,0,0,,,Typology,RS,3,Refurbishment,RS.N.AB.01.Gen.ReEx.001,refurbishment 2,unapredjenje 2,RS.N.AB.01.Gen,ReEx,AB,RS.01,0,1918,Apartment,4557,1554,1884,1413,1413,1413,0,6,3,,TR,,C,,N,,B_N2,0,0,0,0,0,0,,0,,0,3.2,759,0,823.6,410.45,353.21,590.93,0,131.16,26,2,0,0,97.68,0,55.92,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,VeryLow,Low,RS.Roof.ReEx.01.01,0,RS.Wall.ReEx.01.02,RS.Wall.ReEx.01.03,RS.Wall.ReEx.01.02,RS.Floor.ReEx.01.04,0,RS.Window.ReEx.01.02,RS.Window.ReEx.01.03,RS.Door.ReEx.01.01,,,,,,,,0.1,0.02,0.1,0.43,0,1.1,1.33,1.1,1.03,0,3.5,3,3,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,1,0,1,1,1,0.5,0,RS.Roof.Insulation15cm.02,0,RS.Wall.insulation15cm.03,RS.Wall.insulation5cm.01,RS.Wall.insulation5cm.01,RS.Floor.Insulation15cm.03,0,RS.Window.3p-LowE-arg.02,0,RS.Door.WoodHigh.01,4.285714,0,4.285714,1.4285715,1.4285715,4.285714,0,1,0,0.6666667,0.35,0,0.15,0,0.15,0.05,0.05,0.15,0,0,0,0,0,0,0,0,,Add,,0,,Add,,Add,,Add,,Add,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,RS.N,national / whole country,180,12,4.5,378,301,448,301,141,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
4,RS.N.AB.02.Gen.ReEx.001.001,0,0,,,Typology,RS,1,Refurbishment,RS.N.AB.02.Gen.ReEx.001,existing,postojece stanje,RS.N.AB.02.Gen,ReEx,AB,RS.02,1919,1945,Apartment,3077,1186,1390,1043,1043,1043,0,26,3,,UC,,N,,P,,B_N1,0,0,0,0,0,0,,0,,0,3.4,467,0,462,586.5,180,342.5,124.5,138,0,52,0,55,0,62,21,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Medium,High,RS.Ceiling.ReEx.02.01,0,RS.Wall.ReEx.01.02,RS.Wall.ReEx.01.03,RS.Wall.ReEx.01.03,RS.Floor.ReEx.02.03,RS.Floor.ReEx.02.04,RS.Window.ReEx.01.02,0,RS.Door.ReEx.01.01,,,,,,,,0.1,0.1,0.4,1.16,0,1.1,1.33,1.33,0.59,1.39,3.5,0,3,0.8,0,0,0,0,0,0,0,0,0.3,0,0,0,0.3,0,0.3,1,0,1,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,RS.N,national / whole country,180,12,4.5,378,301,448,301,141,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
5,RS.N.AB.02.Gen.ReEx.001.002,0,0,,,Typology,RS,2,Refurbishment,RS.N.AB.02.Gen.ReEx.001,refurbishment 1,unapredjenje 1,RS.N.AB.02.Gen,ReEx,AB,RS.02,1919,1945,Apartment,3077,1186,1390,1043,1043,1043,0,26,3,,UC,,N,,P,,B_N1,0,0,0,0,0,0,,0,,0,3.4,467,0,462,586.5,180,342.5,124.5,138,0,52,0,55,0,62,21,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,Low,Medium,RS.Ceiling.ReEx.02.01,0,RS.Wall.ReEx.01.02,RS.Wall.ReEx.01.03,RS.Wall.ReEx.01.03,RS.Floor.ReEx.02.03,RS.Floor.ReEx.02.04,RS.Window.ReEx.01.02,0,RS.Door.ReEx.01.01,,,,,,,,0.1,0.05,0.2,1.16,0,1.1,1.33,1.33,0.59,1.39,3.5,0,3,0.8,0,0,0,0,0,0,0,0,0.3,0,0,0,0.3,0,0.3,1,0,1,1,1,0.5,0.5,RS.Ceiling.insulation 10cm.01,0,RS.Wall.insulation10cm.02,RS.Wall.insulation10cm.02,RS.Wall.insulation5cm.01,0,RS.Floor.Insulation10cm.02,RS.Window.2p-LowE-arg.01,0,RS.Door.WoodHigh.01,2.857143,0,2.857143,2.857143,1.4285715,0,2.857143,0.6666667,0,0.6666667,0.5,0,0.1,0,0.1,0.1,0.05,0,0.1,0,0,0,0,0,0,0,,Add,,0,,Add,,Add,,Add,,0,,Add,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,RS.N,national / whole country,180,12,4.5,378,301,448,301,141,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
6,RS.N.AB.02.Gen.ReEx.001.003,0,0,,,Typology,RS,3,Refurbishment,RS.N.AB.02.Gen.ReEx.001,refurbishment 2,unapredjenje 2,RS.N.AB.02.Gen,ReEx,AB,RS.02,1919,1945,Apartment,3077,1186,1390,1043,1043,1043,0,26,3,,UC,,N,,P,,B_N1,0,0,0,0,0,0,,0,,0,3.4,467,0,462,586.5,180,342.5,124.5,138,0,52,0,55,0,62,21,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,VeryLow,Low,RS.Ceiling.ReEx.02.01,0,RS.Wall.ReEx.01.02,RS.Wall.ReEx.01.03,RS.Wall.ReEx.01.03,RS.Floor.ReEx.02.03,RS.Floor.ReEx.02.04,RS.Window.ReEx.01.02,0,RS.Door.ReEx.01.01,,,,,,,,0.1,0.02,0.1,1.16,0,1.1,1.33,1.33,0.59,1.39,3.5,0,3,0.8,0,0,0,0,0,0,0,0,0.3,0,0,0,0.3,0,0.3,1,0,1,1,1,0.5,0.5,RS.Ceiling.insulation 15cm.02,0,RS.Wall.insulation15cm.03,RS.Wall.insulation15cm.03,RS.Wall.insulation5cm.01,0,RS.Floor.Insulation15cm.03,RS.Window.3p-LowE-arg.02,0,RS.Door.WoodHigh.01,4.285714,0,4.285714,4.285714,1.4285715,0,4.285714,1,0,0.6666667,0.35,0,0.15,0,0.15,0.15,0.05,0,0.15,0,0,0,0,0,0,0,,Add,,0,,Add,,Add,,Add,,0,,Add,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,RS.N,national / whole country,180,12,4.5,378,301,448,301,141,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
7,RS.N.AB.03.Gen.ReEx.001.001,0,0,,,Typology,RS,1,Refurbishment,RS.N.AB.03.Gen.ReEx.001,existing,postojece stanje,RS.N.AB.03.Gen,ReEx,AB,RS.03,1946,1960,Apartment,1523,637,772,579,579,579,0,12,4,,UC,,N,,N,,B_N1,0,0,0,0,0,0,,0,,0,2.6,176,0,452,125,159,176,0,93,0,22.7,0,1.25,42.2,1.25,48.3,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,High,High,RS.Ceiling.ReEx.03.01,0,RS.Wall.ReEx.02.03,RS.Wall.ReEx.02.04,RS.Wall.ReEx.02.03,RS.Floor.ReEx.03.02,0,RS.Window.ReEx.03.01,0,RS.Door.ReEx.03.02,,,,,,,,0.15,0.15,0.4,1.09,0,1.26,1.45,1.26,1.47,0,3.5,0,3.5,0.8,0,0,0,0,0,0,0,0,0.3,0,0,0.3,0.3,0.3,0,1,0,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,RS.N,national / whole country,180,12,4.5,378,301,448,301,141,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
8,RS.N.AB.03.Gen.ReEx.001.002,0,0,,,Typology,RS,2,Refurbishment,RS.N.AB.03.Gen.ReEx.001,refurbishment 1,unapredjenje 1,RS.N.AB.03.Gen,ReEx,AB,RS.03,1946,1960,Apartment,1523,637,772,579,579,579,0,12,4,,UC,,N,,N,,B_N1,0,0,0,0,0,0,,0,,0,2.6,176,0,452,125,159,176,0,93,0,22.7,0,1.25,42.2,1.25,48.3,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,Low,Medium,RS.Ceiling.ReEx.03.01,0,RS.Wall.ReEx.02.03,RS.Wall.ReEx.02.04,RS.Wall.ReEx.02.03,RS.Floor.ReEx.03.02,0,RS.Window.ReEx.03.01,0,RS.Door.ReEx.03.02,,,,,,,,0.15,0.05,0.2,1.09,0,1.26,1.45,1.26,1.47,0,3.5,0,3.5,0.8,0,0,0,0,0,0,0,0,0.3,0,0,0.3,0.3,0.3,0,1,0,1,1,1,0.5,0,RS.Ceiling.insulation 10cm.01,0,RS.Wall.insulation10cm.02,0,0,RS.Floor.Insulation10cm.02,0,RS.Window.2p-LowE-arg.01,0,RS.Door.WoodHigh.01,2.857143,0,2.857143,0,0,2.857143,0,0.6666667,0,0.6666667,0.5,0,0.1,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,,Add,,0,,Add,,0,,0,,Add,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,RS.N,national / whole country,180,12,4.5,378,301,448,301,141,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
9,RS.N.AB.03.Gen.ReEx.001.003,0,0,,,Typology,RS,3,Refurbishment,RS.N.AB.03.Gen.ReEx.001,refurbishment 2,unapredjenje 2,RS.N.AB.03.Gen,ReEx,AB,RS.03,1946,1960,Apartment,1523,637,772,579,579,579,0,12,4,,UC,,N,,N,,B_N1,0,0,0,0,0,0,,0,,0,2.6,176,0,452,125,159,176,0,93,0,22.7,0,1.25,42.2,1.25,48.3,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,VeryLow,Low,RS.Ceiling.ReEx.03.01,0,RS.Wall.ReEx.02.03,RS.Wall.ReEx.02.04,RS.Wall.ReEx.02.03,RS.Floor.ReEx.03.02,0,RS.Window.ReEx.03.01,0,RS.Door.ReEx.03.02,,,,,,,,0.15,0.02,0.1,1.09,0,1.26,1.45,1.26,1.47,0,3.5,0,3.5,0.8,0,0,0,0,0,0,0,0,0.3,0,0,0.3,0.3,0.3,0,1,0,1,1,1,0.5,0,RS.Ceiling.insulation 15cm.02,0,RS.Wall.insulation15cm.03,RS.Wall.insulation5cm.01,RS.Wall.insulation5cm.01,RS.Floor.Insulation15cm.03,0,RS.Window.3p-LowE-arg.02,0,RS.Door.WoodHigh.01,4.285714,0,4.285714,1.4285715,1.4285715,4.285714,0,1,0,0.6666667,0.35,0,0.15,0,0.15,0.05,0.05,0.15,0,0,0,0,0,0,0,0,,Add,,0,,Add,,Add,,Add,,Add,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,RS.N,national / whole country,180,12,4.5,378,301,448,301,141,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
10,RS.N.AB.04.Gen.ReEx.001.001,0,0,,,Typology,RS,1,Refurbishment,RS.N.AB.04.Gen.ReEx.001,existing,postojece stanje,RS.N.AB.04.Gen,ReEx,AB,RS.04,1961,1970,Apartment,2470,1045,1266,950,950,950,0,14,5,,FR,,-,,N,,B_N2,0,0,0,0,0,0,,0,,0,2.6,231,0,341.5,329,241,202,29,472.5,0,27,0,12,137,12,109.5,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,High,High,RS.Roof.ReEx.04.01,0,RS.Wall.ReEx.04.05,RS.Wall.ReEx.04.06,RS.Wall.ReEx.04.03,RS.Floor.ReEx.04.04,RS.Floor.ReEx.04.05,RS.Window.ReEx.03.01,0,RS.Door.ReEx.03.02,,,,,,,,0.15,0.15,0.4,1.07,0,1.61,0.89,3.31,1.35,0.87,3.5,0,3.5,0.8,0,0,0,0,0,0,0,0.03,0,0,0,0.3,0.3,0.3,0,1,0,1,1,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,RS.N,national / whole country,180,12,4.5,378,301,448,301,141,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
