id,Code_BuildingVariant,Remark_BuildingVariant_1,Remark_BuildingVariant_2,Date_Entry,Date_Change,Code_StatusDataset,Code_Country,Number_BuildingVariant,Code_TypeVariant,Code_Building,Description_BuildingVariant,Description_BuildingVariant_National,Code_BuildingType,Code_DataType_Building,Code_BuildingSizeClass,Code_ConstructionYearClass,Year1_Building,Year2_Building,Code_UtilisationType,V_C,A_C_National,A_C_ExtDim,A_C_IntDim,A_C_Use,A_C_Living,A_C_Ref_Input,n_Apartment,n_Storey,Code_RoofType_val_data,Code_RoofType,Code_AtticCond_val_data,Code_AtticCond,Code_CellarCond_val_data,Code_CellarCond,Code_AttachedNeighbours_val_data,Code_AttachedNeighbours,A_SolarPotential_1,Code_Orientation_SolarPotential_1,Inclination_SolarPotential_1,A_SolarPotential_2,Code_Orientation_SolarPotential_2,Inclination_SolarPotential_2,Code_ComplexFootprint_val_data,Code_ComplexFootprint,Code_ComplexRoof_val_data,Code_ComplexRoof,h_Ceiling,A_Roof_1,A_Roof_2,A_Wall_1,A_Wall_2,A_Wall_3,A_Floor_1,A_Floor_2,A_Window_1,A_Window_2,A_Door_1,A_Window_Horizontal,A_Window_East,A_Window_South,A_Window_West,A_Window_North,Code_TypeIntake_EnvelopeArea_val_data,Code_TypeIntake_EnvelopeArea,f_Corr_CeilingHeight,f_PlausiCrit_EnvSum_LowerLimit,f_PlausiCrit_EnvSum_UpperLimit,f_PlausiCrit_FloorArea_LowerLimit,f_PlausiCrit_FloorArea_UpperLimit,f_PlausiCrit_WindowArea_LowerLimit,f_PlausiCrit_WindowArea_UpperLimit,Code_ThermalBridging_Original,Code_ThermalBridging_Refurbished,Code_Infiltration_Actual,Code_Roof_1,Code_Roof_2,Code_Wall_1,Code_Wall_2,Code_Wall_3,Code_Floor_1,Code_Floor_2,Code_Window_1,Code_Window_2,Code_Door_1,Code_ConstructionBorder_Roof_1,Code_ConstructionBorder_Roof_2,Code_ConstructionBorder_Wall_1,Code_ConstructionBorder_Wall_2,Code_ConstructionBorder_Wall_3,Code_ConstructionBorder_Floor_1,Code_ConstructionBorder_Floor_2,delta_U_ThermalBridging_Original,delta_U_ThermalBridging_Refurbished,n_air_infiltration,U_Roof_1,U_Roof_2,U_Wall_1,U_Wall_2,U_Wall_3,U_Floor_1,U_Floor_2,U_Window_1,U_Window_2,U_Door_1,g_gl_n_Window_1,g_gl_n_Window_2,d_Insulation_Roof_1,d_Insulation_Roof_2,d_Insulation_Wall_1,d_Insulation_Wall_2,d_Insulation_Wall_3,d_Insulation_Floor_1,d_Insulation_Floor_2,R_Add_UnheatedSpace_Roof_1,R_Add_UnheatedSpace_Roof_2,R_Add_UnheatedSpace_Wall_1,R_Add_UnheatedSpace_Wall_2,R_Add_UnheatedSpace_Wall_3,R_Add_UnheatedSpace_Floor_1,R_Add_UnheatedSpace_Floor_2,b_Transmission_Roof_1,b_Transmission_Roof_2,b_Transmission_Wall_1,b_Transmission_Wall_2,b_Transmission_Wall_3,b_Transmission_Floor_1,b_Transmission_Floor_2,Code_Measure_Roof_1,Code_Measure_Roof_2,Code_Measure_Wall_1,Code_Measure_Wall_2,Code_Measure_Wall_3,Code_Measure_Floor_1,Code_Measure_Floor_2,Code_Measure_Window_1,Code_Measure_Window_2,Code_Measure_Door_1,R_PredefinedMeasure_Roof_1,R_PredefinedMeasure_Roof_2,R_PredefinedMeasure_Wall_1,R_PredefinedMeasure_Wall_2,R_PredefinedMeasure_Wall_3,R_PredefinedMeasure_Floor_1,R_PredefinedMeasure_Floor_2,R_PredefinedMeasure_Window_1,R_PredefinedMeasure_Window_2,R_PredefinedMeasure_Door_1,g_gl_n_PredefinedMeasure_Window_1,g_gl_n_PredefinedMeasure_Window_2,d_Insulation_PredefinedMeasure_Roof_1,d_Insulation_PredefinedMeasure_Roof_2,d_Insulation_PredefinedMeasure_Wall_1,d_Insulation_PredefinedMeasure_Wall_2,d_Insulation_PredefinedMeasure_Wall_3,d_Insulation_PredefinedMeasure_Floor_1,d_Insulation_PredefinedMeasure_Floor_2,d_Insulation_Input_Measure_Roof_1,d_Insulation_Input_Measure_Roof_2,d_Insulation_Input_Measure_Wall_1,d_Insulation_Input_Measure_Wall_2,d_Insulation_Input_Measure_Wall_3,d_Insulation_Input_Measure_Floor_1,d_Insulation_Input_Measure_Floor_2,Code_MeasureType_Roof_1_val_data,Code_MeasureType_Roof_1,Code_MeasureType_Roof_2_val_data,Code_MeasureType_Roof_2,Code_MeasureType_Wall_1_val_data,Code_MeasureType_Wall_1,Code_MeasureType_Wall_2_val_data,Code_MeasureType_Wall_2,Code_MeasureType_Wall_3_val_data,Code_MeasureType_Wall_3,Code_MeasureType_Floor_1_val_data,Code_MeasureType_Floor_1,Code_MeasureType_Floor_2_val_data,Code_MeasureType_Floor_2,Code_MeasureType_Window_1_val_data,Code_MeasureType_Window_1,Code_MeasureType_Window_2_val_data,Code_MeasureType_Window_2,Code_MeasureType_Door_1_val_data,Code_MeasureType_Door_1,f_Measure_Roof_1,f_Measure_Roof_2,f_Measure_Wall_1,f_Measure_Wall_2,f_Measure_Wall_3,f_Measure_Floor_1,f_Measure_Floor_2,f_Measure_Window_1,f_Measure_Window_2,f_Measure_Door_1,Code_ClimateRegion,Name_ClimateRegion,HeatingDays,Theta_e_Base,Theta_e,I_Sol_Hor,I_Sol_East,I_Sol_South,I_Sol_West,I_Sol_North,Code_BoundaryCond,theta_i,F_red_htr1,F_red_htr4,n_air_use,h_room,phi_int,q_w_nd,F_sh_hor,F_sh_vert,F_f,F_w,c_m
1,ES.ME.AB.01.Gen.ReEx.001.001,0,0,2014-02-25,2014-09-18,Typology,ES,1,Refurbishment,ES.ME.AB.01.Gen.ReEx.001,Existing condition,Estado inicial,ES.ME.AB.01.Gen,ReEx,AB,ES.01,0,1900,Residential,3376.8,1125.6,0,0,1125.6,1125.6,0,7,7,,TR,,C,,C,,B_N1,0,0,0,0,0,0,,0,,0,0,321.6,0,368,918,0,160.8,0,85,0,0,0,73,0,6,6,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,0,High,ES.Roof.ReEx.01.01,0,ES.Wall.ReEx.02.02,0,0,ES.Floor.ReEx.02.01,0,ES.Window.ReEx.02.01,0,0,,,,,,,,0.15,0,0.4,4.17,0,2.56,0,0,1.83,0,5.35,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,1,1,1,1,1,1,1,1,ES.ME,Mediterranean,22.440536,12,11.537013,51.24408,40.1161,104.8245,40.1161,11.220268,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
2,ES.ME.AB.01.Gen.ReEx.001.002,0,0,2014-02-25,2014-09-18,Typology,ES,2,Refurbishment,ES.ME.AB.01.Gen.ReEx.001,Level 1 of improvements,Nivel 1 de mejora,ES.ME.AB.01.Gen,ReEx,AB,ES.01,0,1900,Residential,3376.8,1125.6,0,0,1125.6,1125.6,0,7,7,,TR,,C,,C,,B_N1,0,0,0,0,0,0,,0,,0,0,321.6,0,368,918,0,160.8,0,85,0,0,0,73,0,6,6,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,Medium,Medium,ES.Roof.ReEx.01.01,0,ES.Wall.ReEx.02.02,0,0,ES.Floor.ReEx.02.01,0,ES.Window.ReEx.02.01,0,0,,,,,,,,0.15,0.1,0.2,4.17,0,2.56,0,0,1.83,0,5.35,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,1,0,ES.Roof.Insulation.01,0,ES.Wall.ExteriorInsulation.01,ES.Wall.ExteriorInsulation.01,0,ES.Window.WindowReplacement.01,0,ES.Window.WindowReplacement.01,0,0,0.65,0,0.97,0.97,0,0.54347825,0,0.54347825,0,0,0.75,0,0.02,0,0.03,0.03,0,0,0,0,0,0,0,0,0,0,,0,,0,,Add,,0,,0,,0,,0,,Replace,,0,,0,0,1,1,1,1,1,1,1,1,1,ES.ME,Mediterranean,22.440536,12,11.537013,51.24408,40.1161,104.8245,40.1161,11.220268,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
3,ES.ME.AB.01.Gen.ReEx.001.003,0,0,2014-02-25,2014-09-18,Typology,ES,3,Refurbishment,ES.ME.AB.01.Gen.ReEx.001,Level 2 of improvements,Nivel 2 de mejora,ES.ME.AB.01.Gen,ReEx,AB,ES.01,0,1900,Residential,3376.8,1125.6,0,0,1125.6,1125.6,0,7,7,,TR,,C,,C,,B_N1,0,0,0,0,0,0,,0,,0,0,321.6,0,368,918,0,160.8,0,85,0,0,0,73,0,6,6,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,Low,Low,ES.Roof.ReEx.01.01,0,ES.Wall.ReEx.02.02,0,0,ES.Floor.ReEx.02.01,0,ES.Window.ReEx.02.01,0,0,,,,,,,,0.15,0.05,0.1,4.17,0,2.56,0,0,1.83,0,5.35,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,1,0,ES.Roof.Insulation.03,0,ES.Wall.ExteriorInsulation.03,ES.Wall.ExteriorInsulation.03,0,ES.Window.DoubleWindow.01,0,ES.Window.DoubleWindow.01,0,0,1.94,0,1.61,1.61,0,0.29069766,0,0.29069766,0,0,0.75,0,0.06,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,,0,,0,,Add,,0,,0,,0,,0,,Replace,,0,,0,0,1,1,1,1,1,1,1,1,1,ES.ME,Mediterranean,22.440536,12,11.537013,51.24408,40.1161,104.8245,40.1161,11.220268,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
4,ES.ME.AB.02.Gen.ReEx.001.001,0,0,2014-02-20,2014-09-18,Typology,ES,1,Refurbishment,ES.ME.AB.02.Gen.ReEx.001,Existing condition,Estado inicial,ES.ME.AB.02.Gen,ReEx,AB,ES.02,1901,1936,Residential,4770,1424,0,0,1424,1424,0,14,7,,FR,,-,,C,,B_N2,0,0,0,0,0,0,,0,,0,0,243,0,779,0,0,243,0,307.04,0,0,0,40.77,30.27,76.94,159.06,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,0,High,ES.Roof.ReEx.02.01,0,ES.Wall.ReEx.02.02,0,0,ES.Floor.ReEx.04.01,0,ES.Window.ReEx.02.01,0,0,,,,,,,,0.15,0,0.4,3.08,0,2.56,0,0,1.72,0,5.35,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,1,1,1,1,1,1,1,1,ES.ME,Mediterranean,22.440536,12,11.537013,51.24408,40.1161,104.8245,40.1161,11.220268,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
5,ES.ME.AB.02.Gen.ReEx.001.002,0,0,2014-02-20,2014-09-18,Typology,ES,2,Refurbishment,ES.ME.AB.02.Gen.ReEx.001,Level 1 of improvements,Nivel 1 de mejora,ES.ME.AB.02.Gen,ReEx,AB,ES.02,1901,1936,Residential,4770,1424,0,0,1424,1424,0,14,7,,FR,,-,,C,,B_N2,0,0,0,0,0,0,,0,,0,0,243,0,779,0,0,243,0,307.04,0,0,0,40.77,30.27,76.94,159.06,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,Medium,Medium,ES.Roof.ReEx.02.01,0,ES.Wall.ReEx.02.02,0,0,ES.Floor.ReEx.04.01,0,ES.Window.ReEx.02.01,0,0,,,,,,,,0.15,0.1,0.2,3.08,0,2.56,0,0,1.72,0,5.35,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,1,0,ES.Roof.Insulation.01,0,ES.Wall.InteriorInsulation.01,0,0,ES.Window.WindowReplacement.01,0,ES.Window.WindowReplacement.01,0,0,0.65,0,0.97,0,0,0.54347825,0,0.54347825,0,0,0.75,0,0.02,0,0.03,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,Add,,0,,0,,0,,0,,Replace,,0,,0,0,1,1,1,1,1,1,1,1,1,ES.ME,Mediterranean,22.440536,12,11.537013,51.24408,40.1161,104.8245,40.1161,11.220268,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
6,ES.ME.AB.02.Gen.ReEx.001.003,0,0,2014-02-20,2014-09-18,Typology,ES,3,Refurbishment,ES.ME.AB.02.Gen.ReEx.001,Level 2 of improvements,Nivel 2 de mejora,ES.ME.AB.02.Gen,ReEx,AB,ES.02,1901,1936,Residential,4770,1424,0,0,1424,1424,0,14,7,,FR,,-,,C,,B_N2,0,0,0,0,0,0,,0,,0,0,243,0,779,0,0,243,0,307.04,0,0,0,40.77,30.27,76.94,159.06,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,Low,Low,ES.Roof.ReEx.02.01,0,ES.Wall.ReEx.02.02,0,0,ES.Floor.ReEx.04.01,0,ES.Window.ReEx.02.01,0,0,,,,,,,,0.15,0.05,0.1,3.08,0,2.56,0,0,1.72,0,5.35,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,0,0,1,0,ES.Roof.Insulation.03,0,ES.Wall.ExteriorInsulation.03,0,0,ES.Window.RollerShutterBox.01,0,ES.Window.RollerShutterBox.01,0,0,1.94,0,1.61,0,0,0.1754386,0,0.1754386,0,0,0.8,0,0.06,0,0.05,0,0,0.03,0,0,0,0,0,0,0,0,,0,,0,,Add,,0,,0,,0,,0,,Replace,,0,,0,0,1,1,1,1,1,1,1,1,1,ES.ME,Mediterranean,22.440536,12,11.537013,51.24408,40.1161,104.8245,40.1161,11.220268,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
7,ES.ME.AB.03.Gen.ReEx.001.001,0,0,2014-02-20,2014-09-18,Typology,ES,1,Refurbishment,ES.ME.AB.03.Gen.ReEx.001,Existing condition,Estado inicial,ES.ME.AB.03.Gen,ReEx,AB,ES.03,1937,1959,Residential,2787,832,0,0,832,832,0,10,6,,TR,,-,,N,,B_N2,0,0,0,0,0,0,,0,,0,0,132,46,576.1,0,0,175,0,71.1,0,0,0,19.8,26.55,6.75,18,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,0,High,ES.Roof.ReEx.03.01,ES.Roof.ReEx.01.01,ES.Wall.ReEx.03.04,0,0,ES.Floor.ReEx.03.01,0,ES.Window.ReEx.03.01,0,0,,,,,,,,0.15,0,0.4,1.37,4.17,2.27,0,0,1.26,0,4.59,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,1,1,1,1,1,1,1,1,ES.ME,Mediterranean,22.440536,12,11.537013,51.24408,40.1161,104.8245,40.1161,11.220268,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
8,ES.ME.AB.03.Gen.ReEx.001.002,0,0,2014-02-20,2014-09-18,Typology,ES,2,Refurbishment,ES.ME.AB.03.Gen.ReEx.001,Level 1 of improvements,Nivel 1 de mejora,ES.ME.AB.03.Gen,ReEx,AB,ES.03,1937,1959,Residential,2787,832,0,0,832,832,0,10,6,,TR,,-,,N,,B_N2,0,0,0,0,0,0,,0,,0,0,132,46,576.1,0,0,175,0,71.1,0,0,0,19.8,26.55,6.75,18,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,Medium,Medium,ES.Roof.ReEx.03.01,ES.Roof.ReEx.01.01,ES.Wall.ReEx.03.04,0,0,ES.Floor.ReEx.03.01,0,ES.Window.ReEx.03.01,0,0,,,,,,,,0.15,0.1,0.2,1.37,4.17,2.27,0,0,1.26,0,4.59,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,1,1,0,0,1,0,ES.Roof.Insulation.01,ES.Roof.Insulation.01,ES.Wall.InteriorInsulation.01,0,0,ES.Window.WindowReplacement.01,0,ES.Window.WindowReplacement.01,0,0,0.65,0.65,0.97,0,0,0.54347825,0,0.54347825,0,0,0.75,0,0.02,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,Add,,0,,0,,0,,0,,Replace,,0,,0,0,1,1,1,1,1,1,1,1,1,ES.ME,Mediterranean,22.440536,12,11.537013,51.24408,40.1161,104.8245,40.1161,11.220268,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
9,ES.ME.AB.03.Gen.ReEx.001.003,0,0,2014-02-20,2014-09-18,Typology,ES,3,Refurbishment,ES.ME.AB.03.Gen.ReEx.001,Level 2 of improvements,Nivel 2 de mejora,ES.ME.AB.03.Gen,ReEx,AB,ES.03,1937,1959,Residential,2787,832,0,0,832,832,0,10,6,,TR,,-,,N,,B_N2,0,0,0,0,0,0,,0,,0,0,132,46,576.1,0,0,175,0,71.1,0,0,0,19.8,26.55,6.75,18,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,Low,Low,ES.Roof.ReEx.03.01,ES.Roof.ReEx.01.01,ES.Wall.ReEx.03.04,0,0,ES.Floor.ReEx.03.01,0,ES.Window.ReEx.03.01,0,0,,,,,,,,0.15,0.05,0.1,1.37,4.17,2.27,0,0,1.26,0,4.59,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,1,1,0,0,1,0,ES.Roof.Insulation.03,ES.Roof.Insulation.03,ES.Wall.ExteriorInsulation.03,0,0,ES.Window.DoubleWindow.01,0,ES.Window.DoubleWindow.01,0,0,1.94,1.94,1.61,0,0,0.29069766,0,0.29069766,0,0,0.75,0,0.06,0.06,0.05,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,Add,,0,,0,,0,,0,,Replace,,0,,0,0,1,1,1,1,1,1,1,1,1,ES.ME,Mediterranean,22.440536,12,11.537013,51.24408,40.1161,104.8245,40.1161,11.220268,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
10,ES.ME.AB.04.Gen.ReEx.001.001,0,0,2014-02-20,2014-09-18,Typology,ES,1,Refurbishment,ES.ME.AB.04.Gen.ReEx.001,Existing condition,Estado inicial,ES.ME.AB.04.Gen,ReEx,AB,ES.04,1960,1979,Residential,5836.8,1945.6,0,0,1945.6,1765.8,0,18,9,,FR,,N,,N,,B_N2,0,0,0,0,0,0,,0,,0,0,161.69,0,520.76,282.86,0,161.7,0,103,0,0,0,0,66.51,0,36.5,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,0,High,ES.Roof.ReEx.04.01,0,ES.Wall.ReEx.04.02,ES.Wall.ReEx.04.03,0,ES.Floor.ReEx.04.01,0,ES.Window.ReEx.04.01,0,0,,,,,,,,0.15,0,0.4,1.92,0,1.33,2.08,0,1.72,0,5.7,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1,0,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,1,1,1,1,1,1,1,1,ES.ME,Mediterranean,22.440536,12,11.537013,51.24408,40.1161,104.8245,40.1161,11.220268,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
