id,Code_BuildingVariant,Remark_BuildingVariant_1,Remark_BuildingVariant_2,Date_Entry,Date_Change,Code_StatusDataset,Code_Country,Number_BuildingVariant,Code_TypeVariant,Code_Building,Description_BuildingVariant,Description_BuildingVariant_National,Code_BuildingType,Code_DataType_Building,Code_BuildingSizeClass,Code_ConstructionYearClass,Year1_Building,Year2_Building,Code_UtilisationType,V_C,A_C_National,A_C_ExtDim,A_C_IntDim,A_C_Use,A_C_Living,A_C_Ref_Input,n_Apartment,n_Storey,Code_RoofType_val_data,Code_RoofType,Code_AtticCond_val_data,Code_AtticCond,Code_CellarCond_val_data,Code_CellarCond,Code_AttachedNeighbours_val_data,Code_AttachedNeighbours,A_SolarPotential_1,Code_Orientation_SolarPotential_1,Inclination_SolarPotential_1,A_SolarPotential_2,Code_Orientation_SolarPotential_2,Inclination_SolarPotential_2,Code_ComplexFootprint_val_data,Code_ComplexFootprint,Code_ComplexRoof_val_data,Code_ComplexRoof,h_Ceiling,A_Roof_1,A_Roof_2,A_Wall_1,A_Wall_2,A_Wall_3,A_Floor_1,A_Floor_2,A_Window_1,A_Window_2,A_Door_1,A_Window_Horizontal,A_Window_East,A_Window_South,A_Window_West,A_Window_North,Code_TypeIntake_EnvelopeArea_val_data,Code_TypeIntake_EnvelopeArea,f_Corr_CeilingHeight,f_PlausiCrit_EnvSum_LowerLimit,f_PlausiCrit_EnvSum_UpperLimit,f_PlausiCrit_FloorArea_LowerLimit,f_PlausiCrit_FloorArea_UpperLimit,f_PlausiCrit_WindowArea_LowerLimit,f_PlausiCrit_WindowArea_UpperLimit,Code_ThermalBridging_Original,Code_ThermalBridging_Refurbished,Code_Infiltration_Actual,Code_Roof_1,Code_Roof_2,Code_Wall_1,Code_Wall_2,Code_Wall_3,Code_Floor_1,Code_Floor_2,Code_Window_1,Code_Window_2,Code_Door_1,Code_ConstructionBorder_Roof_1,Code_ConstructionBorder_Roof_2,Code_ConstructionBorder_Wall_1,Code_ConstructionBorder_Wall_2,Code_ConstructionBorder_Wall_3,Code_ConstructionBorder_Floor_1,Code_ConstructionBorder_Floor_2,delta_U_ThermalBridging_Original,delta_U_ThermalBridging_Refurbished,n_air_infiltration,U_Roof_1,U_Roof_2,U_Wall_1,U_Wall_2,U_Wall_3,U_Floor_1,U_Floor_2,U_Window_1,U_Window_2,U_Door_1,g_gl_n_Window_1,g_gl_n_Window_2,d_Insulation_Roof_1,d_Insulation_Roof_2,d_Insulation_Wall_1,d_Insulation_Wall_2,d_Insulation_Wall_3,d_Insulation_Floor_1,d_Insulation_Floor_2,R_Add_UnheatedSpace_Roof_1,R_Add_UnheatedSpace_Roof_2,R_Add_UnheatedSpace_Wall_1,R_Add_UnheatedSpace_Wall_2,R_Add_UnheatedSpace_Wall_3,R_Add_UnheatedSpace_Floor_1,R_Add_UnheatedSpace_Floor_2,b_Transmission_Roof_1,b_Transmission_Roof_2,b_Transmission_Wall_1,b_Transmission_Wall_2,b_Transmission_Wall_3,b_Transmission_Floor_1,b_Transmission_Floor_2,Code_Measure_Roof_1,Code_Measure_Roof_2,Code_Measure_Wall_1,Code_Measure_Wall_2,Code_Measure_Wall_3,Code_Measure_Floor_1,Code_Measure_Floor_2,Code_Measure_Window_1,Code_Measure_Window_2,Code_Measure_Door_1,R_PredefinedMeasure_Roof_1,R_PredefinedMeasure_Roof_2,R_PredefinedMeasure_Wall_1,R_PredefinedMeasure_Wall_2,R_PredefinedMeasure_Wall_3,R_PredefinedMeasure_Floor_1,R_PredefinedMeasure_Floor_2,R_PredefinedMeasure_Window_1,R_PredefinedMeasure_Window_2,R_PredefinedMeasure_Door_1,g_gl_n_PredefinedMeasure_Window_1,g_gl_n_PredefinedMeasure_Window_2,d_Insulation_PredefinedMeasure_Roof_1,d_Insulation_PredefinedMeasure_Roof_2,d_Insulation_PredefinedMeasure_Wall_1,d_Insulation_PredefinedMeasure_Wall_2,d_Insulation_PredefinedMeasure_Wall_3,d_Insulation_PredefinedMeasure_Floor_1,d_Insulation_PredefinedMeasure_Floor_2,d_Insulation_Input_Measure_Roof_1,d_Insulation_Input_Measure_Roof_2,d_Insulation_Input_Measure_Wall_1,d_Insulation_Input_Measure_Wall_2,d_Insulation_Input_Measure_Wall_3,d_Insulation_Input_Measure_Floor_1,d_Insulation_Input_Measure_Floor_2,Code_MeasureType_Roof_1_val_data,Code_MeasureType_Roof_1,Code_MeasureType_Roof_2_val_data,Code_MeasureType_Roof_2,Code_MeasureType_Wall_1_val_data,Code_MeasureType_Wall_1,Code_MeasureType_Wall_2_val_data,Code_MeasureType_Wall_2,Code_MeasureType_Wall_3_val_data,Code_MeasureType_Wall_3,Code_MeasureType_Floor_1_val_data,Code_MeasureType_Floor_1,Code_MeasureType_Floor_2_val_data,Code_MeasureType_Floor_2,Code_MeasureType_Window_1_val_data,Code_MeasureType_Window_1,Code_MeasureType_Window_2_val_data,Code_MeasureType_Window_2,Code_MeasureType_Door_1_val_data,Code_MeasureType_Door_1,f_Measure_Roof_1,f_Measure_Roof_2,f_Measure_Wall_1,f_Measure_Wall_2,f_Measure_Wall_3,f_Measure_Floor_1,f_Measure_Floor_2,f_Measure_Window_1,f_Measure_Window_2,f_Measure_Door_1,Code_ClimateRegion,Name_ClimateRegion,HeatingDays,Theta_e_Base,Theta_e,I_Sol_Hor,I_Sol_East,I_Sol_South,I_Sol_West,I_Sol_North,Code_BoundaryCond,theta_i,F_red_htr1,F_red_htr4,n_air_use,h_room,phi_int,q_w_nd,F_sh_hor,F_sh_vert,F_f,F_w,c_m
1,SE.N.MFH.01.Gen.ReEx.001.001,0,0,2011-12-12,2015-07-24,Typology,SE,1,Refurbishment,SE.N.MFH.01.Gen.ReEx.001,Existing condition,Befintligt utförande,SE.N.MFH.01.Gen,ReEx,MFH,SE.01,0,1960,Apartment,3500,1420,1420,0,0,0,0,14,3,,FR,,C,,C,,B_Alone,0,0,0,0,0,0,,0,,0,0,470,0,560,240,0,470,0,180,0,10,180,46.8,11.25,50.4,37.8,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,0,High,SE.Ceiling.ReEx.01.02,0,SE.Wall.ReEx.01.02,SE.Wall.ReEx.01.06,0,SE.Floor.ReEx.01.02,0,SE.Window.ReEx.01.02,0,SE.Door.ReEx.01.01,,,,,,,,0.15,0,0.4,0.36,0,0.58,0.89,0,0.36,0,2.22,0,3,0.8,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0,1,0,1,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,SE.Zone1,Zone I,365,12,-1.2,711,628,725,628,309,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
2,SE.N.MFH.01.Gen.ReEx.001.002,0,0,2011-12-12,2015-07-24,Typology,SE,2,Refurbishment,SE.N.MFH.01.Gen.ReEx.001,"Roof/wall insulation, treglazings and reduce infiltration","Isolering av tak och vägg, treglasfönster, samt minskning av luftläckage",SE.N.MFH.01.Gen,ReEx,MFH,SE.01,0,1960,Apartment,3500,1420,1420,0,0,0,0,14,3,,FR,,C,,C,,B_Alone,0,0,0,0,0,0,,0,,0,0,470,0,560,240,0,470,0,180,0,10,180,46.8,11.25,50.4,37.8,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,0,Medium,SE.Ceiling.ReEx.01.02,0,SE.Wall.ReEx.01.02,SE.Wall.ReEx.01.06,0,SE.Floor.ReEx.01.02,0,SE.Window.ReEx.01.02,0,SE.Door.ReEx.01.01,,,,,,,,0.15,0,0.2,0.36,0,0.58,0.89,0,0.36,0,2.22,0,3,0.8,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0,1,0,1,0.5,0,0.5,0,SE.Ceiling.Add 200 mm.01,0,SE.Wall.Insulation 50 mm brick.01,0,0,SE.Floor.Add 40 mm.01,0,SE.Window.Wood 3p.01,0,SE.Door.Insulated.02,5.4054055,0,1.7151515,0,0,1.1111112,0,1.1111112,0,0.8333333,0.5,0,0.2,0,0.05,0,0,0.04,0,0,0,0,0,0,0,0,,Add,,0,,Add,,Add,,0,,Add,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,SE.Zone1,Zone I,365,12,-1.2,711,628,725,628,309,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
3,SE.N.MFH.01.Gen.ReEx.001.003,0,0,2011-12-12,2015-07-24,Typology,SE,3,Refurbishment,SE.N.MFH.01.Gen.ReEx.001,"Roof/wall insulation extra, treglazings and reduce infiltration","Tillägsisoleirng (extra) av tak och vägg, treglasfönster, samt minskning av luftläckage",SE.N.MFH.01.Gen,ReEx,MFH,SE.01,0,1960,Apartment,3500,1420,1420,0,0,0,0,14,3,,FR,,C,,C,,B_Alone,0,0,0,0,0,0,,0,,0,0,470,0,560,240,0,470,0,180,0,10,180,46.8,11.25,50.4,37.8,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,Medium,Medium,SE.Ceiling.ReEx.01.02,0,SE.Wall.ReEx.01.02,SE.Wall.ReEx.01.06,0,SE.Floor.ReEx.01.02,0,SE.Window.ReEx.01.02,0,SE.Door.ReEx.01.01,,,,,,,,0.15,0.1,0.2,0.36,0,0.58,0.89,0,0.36,0,2.22,0,3,0.8,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0,1,0,1,0.5,0,0.5,0,SE.Ceiling.Add 500 mm.01,0,SE.Wall.Insulation 300 mm brick.01,SE.Wall.Insulation 40mm.01,0,SE.Floor.Add 45 mm.01,0,"SE.Window.Wood and aluminium (2+1, 2+2).01",0,SE.Door.Insulated.05,13.513514,0,9.290909,1.1111112,0,1.25,0,1.3157895,0,1.1111112,0.6,0,0.5,0,0.3,0.04,0,0.045,0,0,0,0,0,0,0,0,,Add,,0,,Add,,Add,,0,,Add,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,SE.Zone1,Zone I,365,12,-1.2,711,628,725,628,309,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
4,SE.N.MFH.02.Gen.ReEx.001.001,0,0,2011-12-12,2015-07-24,Typology,SE,1,Refurbishment,SE.N.MFH.02.Gen.ReEx.001,Existing condition,Befintligt utförande,SE.N.MFH.02.Gen,ReEx,MFH,SE.02,1961,1975,Apartment,3500,1420,1420,0,0,0,0,14,3,,FR,,C,,C,,B_Alone,0,0,0,0,0,0,,0,,0,0,470,0,560,240,0,470,0,180,0,10,180,46.8,11.25,50.4,37.8,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,0,High,SE.Ceiling.ReEx.02.02,0,SE.Wall.ReEx.02.02,SE.Wall.ReEx.01.06,0,SE.Floor.ReEx.02.02,0,SE.Window.ReEx.02.02,0,SE.Door.ReEx.02.01,,,,,,,,0.15,0,0.4,0.2,0,0.41,0.89,0,0.28,0,2.22,0,2.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0,1,0,1,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,SE.Zone1,Zone I,365,12,-1.2,711,628,725,628,309,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
5,SE.N.MFH.02.Gen.ReEx.001.002,0,0,2011-12-12,2015-07-24,Typology,SE,2,Refurbishment,SE.N.MFH.02.Gen.ReEx.001,"Roof/wall insulation, treglazings and reduce infiltration","Isolering av tak och vägg, treglasfönster, samt minskning av luftläckage",SE.N.MFH.02.Gen,ReEx,MFH,SE.02,1961,1975,Apartment,3500,1420,1420,0,0,0,0,14,3,,FR,,C,,C,,B_Alone,0,0,0,0,0,0,,0,,0,0,470,0,560,240,0,470,0,180,0,10,180,46.8,11.25,50.4,37.8,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,0,Medium,SE.Ceiling.ReEx.02.02,0,SE.Wall.ReEx.02.02,SE.Wall.ReEx.01.06,0,SE.Floor.ReEx.02.02,0,SE.Window.ReEx.02.02,0,SE.Door.ReEx.02.01,,,,,,,,0.15,0,0.2,0.2,0,0.41,0.89,0,0.28,0,2.22,0,2.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0,1,0,1,0.5,0,0.5,0,SE.Ceiling.Add 200 mm.01,0,SE.Wall.Insulation 50 mm brick.01,0,0,SE.Floor.Add 40 mm.01,0,SE.Window.Wood 3p.01,0,SE.Door.Insulated.02,5.4054055,0,1.7151515,0,0,1.1111112,0,1.1111112,0,0.8333333,0.5,0,0.2,0,0.05,0,0,0.04,0,0,0,0,0,0,0,0,,Add,,0,,Add,,Add,,0,,Add,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,SE.Zone1,Zone I,365,12,-1.2,711,628,725,628,309,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
6,SE.N.MFH.02.Gen.ReEx.001.003,0,0,2011-12-12,2015-07-24,Typology,SE,3,Refurbishment,SE.N.MFH.02.Gen.ReEx.001,"Roof/wall insulation extra, treglazings and reduce infiltration","Tillägsisoleirng (extra) av tak och vägg, treglasfönster, samt minskning av luftläckage",SE.N.MFH.02.Gen,ReEx,MFH,SE.02,1961,1975,Apartment,3500,1420,1420,0,0,0,0,14,3,,FR,,C,,C,,B_Alone,0,0,0,0,0,0,,0,,0,0,470,0,560,240,0,470,0,180,0,10,180,46.8,11.25,50.4,37.8,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,High,Medium,Medium,SE.Ceiling.ReEx.02.02,0,SE.Wall.ReEx.02.02,SE.Wall.ReEx.01.06,0,SE.Floor.ReEx.02.02,0,SE.Window.ReEx.02.02,0,SE.Door.ReEx.02.01,,,,,,,,0.15,0.1,0.2,0.2,0,0.41,0.89,0,0.28,0,2.22,0,2.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0,1,0,1,0.5,0,0.5,0,SE.Ceiling.Add 500 mm.01,0,SE.Wall.Insulation 300 mm brick.01,SE.Wall.Insulation 40mm.01,0,SE.Floor.Add 45 mm.01,0,"SE.Window.Wood and aluminium (2+1, 2+2).01",0,SE.Door.Insulated.05,13.513514,0,9.290909,1.1111112,0,1.25,0,1.3157895,0,1.1111112,0.6,0,0.5,0,0.3,0.04,0,0.045,0,0,0,0,0,0,0,0,,Add,,0,,Add,,Add,,0,,Add,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,SE.Zone1,Zone I,365,12,-1.2,711,628,725,628,309,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
7,SE.N.MFH.03.Gen.ReEx.001.001,0,0,2011-12-12,2015-07-24,Typology,SE,1,Refurbishment,SE.N.MFH.03.Gen.ReEx.001,Existing condition,Befintligt utförande,SE.N.MFH.03.Gen,ReEx,MFH,SE.03,1976,1985,Apartment,3500,1420,1420,0,0,0,0,14,3,,FR,,C,,C,,B_Alone,0,0,0,0,0,0,,0,,0,0,470,0,560,240,0,470,0,180,0,10,180,46.8,11.25,50.4,37.8,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,0,Medium,SE.Ceiling.ReEx.03.02,0,SE.Wall.ReEx.03.02,SE.Wall.ReEx.01.06,0,SE.Floor.ReEx.03.02,0,SE.Window.ReEx.03.02,0,SE.Door.ReEx.02.02,,,,,,,,0.1,0,0.2,0.17,0,0.33,0.89,0,0.29,0,2.04,0,2.8,0.7,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0,1,0,1,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,SE.Zone1,Zone I,365,12,-1.2,711,628,725,628,309,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
8,SE.N.MFH.03.Gen.ReEx.001.002,0,0,2011-12-12,2015-07-24,Typology,SE,2,Refurbishment,SE.N.MFH.03.Gen.ReEx.001,"Roof/wall insulation, treglazings and reduce infiltration","Isolering av tak och vägg, treglasfönster, samt minskning av luftläckage",SE.N.MFH.03.Gen,ReEx,MFH,SE.03,1976,1985,Apartment,3500,1420,1420,0,0,0,0,14,3,,FR,,C,,C,,B_Alone,0,0,0,0,0,0,,0,,0,0,470,0,560,240,0,470,0,180,0,10,180,46.8,11.25,50.4,37.8,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,0,Medium,SE.Ceiling.ReEx.03.02,0,SE.Wall.ReEx.03.02,SE.Wall.ReEx.01.06,0,SE.Floor.ReEx.03.02,0,SE.Window.ReEx.03.02,0,SE.Door.ReEx.02.02,,,,,,,,0.1,0,0.2,0.17,0,0.33,0.89,0,0.29,0,2.04,0,2.8,0.7,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0,1,0,1,0.5,0,0.5,0,SE.Ceiling.Add 200 mm.01,0,SE.Wall.Insulation 50 mm brick.01,0,0,SE.Floor.Add 40 mm.01,0,SE.Window.Wood 3p.01,0,SE.Door.Insulated.02,5.4054055,0,1.7151515,0,0,1.1111112,0,1.1111112,0,0.8333333,0.5,0,0.2,0,0.05,0,0,0.04,0,0,0,0,0,0,0,0,,Add,,0,,Add,,Add,,0,,Add,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,SE.Zone1,Zone I,365,12,-1.2,711,628,725,628,309,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
9,SE.N.MFH.03.Gen.ReEx.001.003,0,0,2011-12-12,2015-07-24,Typology,SE,3,Refurbishment,SE.N.MFH.03.Gen.ReEx.001,"Roof/wall insulation extra, treglazings and reduce infiltration","Tillägsisoleirng (extra) av tak och vägg, treglasfönster, samt minskning av luftläckage",SE.N.MFH.03.Gen,ReEx,MFH,SE.03,1976,1985,Apartment,3500,1420,1420,0,0,0,0,14,3,,FR,,C,,C,,B_Alone,0,0,0,0,0,0,,0,,0,0,470,0,560,240,0,470,0,180,0,10,180,46.8,11.25,50.4,37.8,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,0,Low,SE.Ceiling.ReEx.03.02,0,SE.Wall.ReEx.03.02,SE.Wall.ReEx.01.06,0,SE.Floor.ReEx.03.02,0,SE.Window.ReEx.03.02,0,SE.Door.ReEx.02.02,,,,,,,,0.1,0,0.1,0.17,0,0.33,0.89,0,0.29,0,2.04,0,2.8,0.7,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0,1,0,1,0.5,0,0.5,0,SE.Ceiling.Add 500 mm.01,0,SE.Wall.Insulation 300 mm brick.01,SE.Wall.Insulation 40mm.01,0,SE.Floor.Add 45 mm.01,0,"SE.Window.Wood and aluminium (2+1, 2+2).01",0,SE.Door.Insulated.05,13.513514,0,9.290909,1.1111112,0,1.25,0,1.3157895,0,1.1111112,0.6,0,0.5,0,0.3,0.04,0,0.045,0,0,0,0,0,0,0,0,,Add,,0,,Add,,Add,,0,,Add,,0,,Replace,,0,,Replace,1,1,1,1,1,1,1,1,1,1,SE.Zone1,Zone I,365,12,-1.2,711,628,725,628,309,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
10,SE.N.MFH.04.Gen.ReEx.001.001,0,0,2011-12-12,2015-07-24,Typology,SE,1,Refurbishment,SE.N.MFH.04.Gen.ReEx.001,Existing condition,Befintligt utförande,SE.N.MFH.04.Gen,ReEx,MFH,SE.04,1986,1995,Apartment,3500,1420,1420,0,0,0,0,14,3,,FR,,C,,C,,B_Alone,0,0,0,0,0,0,,0,,0,0,470,0,560,240,0,470,0,180,0,10,180,46.8,11.25,50.4,37.8,,Manual,1,0.8,1.25,0.9,1.3,0.67,1.5,Medium,0,Medium,SE.Ceiling.ReEx.04.02,0,SE.Wall.ReEx.04.02,SE.Wall.ReEx.01.06,0,SE.Floor.ReEx.04.02,0,SE.Window.ReEx.04.02,0,SE.Door.ReEx.02.02,,,,,,,,0.1,0,0.2,0.15,0,0.22,0.89,0,0.26,0,1.8,0,2.8,0.7,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0,1,0,1,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,1,1,1,1,1,1,1,1,SE.Zone1,Zone I,365,12,-1.2,711,628,725,628,309,EU.MUH,20,0.95,0.85,0.4,2.5,3,15,0.8,0.6,0.3,0.9,45
